,density,burn_percentage,directions,ticks
121,13.0,0.5128205128205128,4.0,16.0
122,13.0,0.4613466334164589,4.0,16.0
123,13.0,0.47899778924097275,4.0,15.0
124,13.0,0.4817535830422739,4.0,17.0
125,13.0,0.5182596119079185,4.0,14.0
126,13.0,0.6087712759348988,4.0,14.0
127,13.0,0.5062978513213139,4.0,16.0
128,13.0,0.4878048780487805,4.0,15.0
129,13.0,0.468384074941452,4.0,15.0
130,14.0,0.4114755972111099,4.0,15.0
131,14.0,0.4452054794520548,4.0,15.0
132,14.0,0.4497751124437781,4.0,16.0
133,14.0,0.4000457195108012,4.0,15.0
134,14.0,0.3418803418803419,4.0,15.0
135,14.0,0.3933910306845004,4.0,14.0
136,14.0,0.566604995374653,4.0,16.0
137,14.0,0.5239259517988124,4.0,14.0
138,14.0,0.6128007262823423,4.0,19.0
139,14.0,0.49215978024493534,4.0,16.0
140,15.0,0.41542394546229233,4.0,15.0
141,15.0,0.47523497729432884,4.0,16.0
142,15.0,0.49542272482498656,4.0,15.0
143,15.0,0.42544139544777704,4.0,16.0
144,15.0,0.5747738158594997,4.0,17.0
145,15.0,0.4663487016428193,4.0,15.0
146,15.0,0.515630035449565,4.0,16.0
147,15.0,0.37776578521316784,4.0,15.0
148,15.0,0.5065963060686016,4.0,16.0
149,15.0,0.41427660930529,4.0,15.0
150,16.0,0.49004900490049,4.0,15.0
151,16.0,0.6253101736972705,4.0,16.0
152,16.0,0.47746941211578636,4.0,15.0
153,16.0,0.5288893324019559,4.0,15.0
154,16.0,0.5596465390279823,4.0,18.0
155,16.0,0.5197607139354713,4.0,17.0
156,16.0,0.563097033685269,4.0,15.0
157,16.0,0.5342203406914625,4.0,16.0
158,16.0,0.591715976331361,4.0,15.0
159,16.0,0.42523033309709424,4.0,16.0
160,17.0,0.4700573469963335,4.0,15.0
161,17.0,0.5709472107824785,4.0,14.0
162,17.0,0.6103286384976526,4.0,16.0
163,17.0,0.6185567010309279,4.0,17.0
164,17.0,0.47855869381627103,4.0,15.0
165,17.0,0.42719167904903416,4.0,14.0
166,17.0,0.653038046564452,4.0,15.0
167,17.0,0.5155605549306337,4.0,16.0
168,17.0,0.4304294937774867,4.0,16.0
169,17.0,0.5611147479659591,4.0,16.0
170,18.0,0.5066666666666666,4.0,16.0
171,18.0,0.49938671806553353,4.0,16.0
172,18.0,0.40823571175008877,4.0,14.0
173,18.0,0.42338528060535086,4.0,18.0
174,18.0,0.5404934181849883,4.0,15.0
175,18.0,0.6170662905500706,4.0,17.0
176,18.0,0.5001339644547647,4.0,16.0
177,18.0,0.5837608349548912,4.0,17.0
178,18.0,0.5063066263990051,4.0,17.0
179,18.0,0.5654281098546041,4.0,18.0
180,19.0,0.5302137687258037,4.0,16.0
181,19.0,0.4980906524987548,4.0,16.0
182,19.0,0.46272926131583375,4.0,17.0
183,19.0,0.5294167876355563,4.0,16.0
184,19.0,0.5451190875545119,4.0,17.0
185,19.0,0.4943857885034356,4.0,17.0
186,19.0,0.5987014082131714,4.0,17.0
187,19.0,0.6094464195022855,4.0,17.0
188,19.0,0.5842506350550382,4.0,17.0
189,19.0,0.6632653061224489,4.0,16.0
190,20.0,0.5361715749039693,4.0,16.0
191,20.0,0.4466422076886266,4.0,15.0
192,20.0,0.423525651270577,4.0,15.0
193,20.0,0.42840142800476,4.0,15.0
194,20.0,0.6463453558889243,4.0,16.0
195,20.0,0.6585733555502659,4.0,21.0
196,20.0,0.6108342710175213,4.0,16.0
197,20.0,0.6012988054197066,4.0,16.0
198,20.0,0.5772005772005772,4.0,15.0
199,20.0,0.4436915133914166,4.0,16.0
200,21.0,0.542647508407215,4.0,16.0
201,21.0,0.4736129905277402,4.0,16.0
202,21.0,0.4625066343164759,4.0,15.0
203,21.0,0.4923834436067087,4.0,15.0
204,21.0,0.5219364599092284,4.0,19.0
205,21.0,0.575278177276512,4.0,17.0
206,21.0,0.5221932114882507,4.0,18.0
207,21.0,0.6657483930211203,4.0,19.0
208,21.0,0.5331708431716048,4.0,18.0
209,21.0,0.6025027035377722,4.0,16.0
210,22.0,0.5816066884769174,4.0,18.0
211,22.0,0.5565996819430389,4.0,16.0
212,22.0,0.42203303499963624,4.0,16.0
213,22.0,0.46366731869883365,4.0,16.0
214,22.0,0.6478082487583675,4.0,18.0
215,22.0,0.5795001810938066,4.0,17.0
216,22.0,0.4441208591190389,4.0,16.0
217,22.0,0.585051923358198,4.0,18.0
218,22.0,0.5465675557498907,4.0,15.0
219,22.0,0.6885055805189157,4.0,20.0
220,23.0,0.605427974947808,4.0,18.0
221,23.0,0.5942099081047467,4.0,18.0
222,23.0,0.6168988701739794,4.0,17.0
223,23.0,0.6383725008768852,4.0,16.0
224,23.0,0.8050643363379894,4.0,19.0
225,23.0,0.5573138846841889,4.0,17.0
226,23.0,0.6337488683055923,4.0,17.0
227,23.0,0.608859962208692,4.0,17.0
228,23.0,0.590359772190582,4.0,17.0
229,23.0,0.4851004851004851,4.0,16.0
230,24.0,0.6316909368974001,4.0,18.0
231,24.0,0.591210668068055,4.0,19.0
232,24.0,0.5648591174906964,4.0,16.0
233,24.0,0.6036484245439468,4.0,17.0
234,24.0,0.790722192936215,4.0,20.0
235,24.0,0.564109370852137,4.0,18.0
236,24.0,0.5463024650233178,4.0,17.0
237,24.0,0.5979173664763184,4.0,19.0
238,24.0,0.5045140732873075,4.0,18.0
239,24.0,0.5338198526927496,4.0,19.0
240,25.0,0.6198875255623723,4.0,18.0
241,25.0,0.711945564516129,4.0,19.0
242,25.0,0.48966613672496023,4.0,19.0
243,25.0,0.5914116739521729,4.0,17.0
244,25.0,0.6339546088500064,4.0,22.0
245,25.0,0.4472557664047026,4.0,15.0
246,25.0,0.49207566462167684,4.0,22.0
247,25.0,0.7857786938039417,4.0,19.0
248,25.0,0.6201253036696075,4.0,22.0
249,25.0,0.7984420642648491,4.0,18.0
250,26.0,0.6935493770330816,4.0,18.0
251,26.0,0.6479743232604614,4.0,19.0
252,26.0,0.814152791380999,4.0,18.0
253,26.0,0.7562608480039673,4.0,19.0
254,26.0,0.6094588005850805,4.0,17.0
255,26.0,0.6714276994445462,4.0,19.0
256,26.0,0.6239189523103533,4.0,20.0
257,26.0,0.5126621371216801,4.0,18.0
258,26.0,0.5292633392824174,4.0,17.0
259,26.0,0.509953305480462,4.0,16.0
260,27.0,0.7104375111005862,4.0,19.0
261,27.0,0.7716139591979891,4.0,22.0
262,27.0,0.7783936784998231,4.0,18.0
263,27.0,0.7267528444629773,4.0,18.0
264,27.0,0.8260589372546722,4.0,23.0
265,27.0,0.7938858937140825,4.0,23.0
266,27.0,0.5463182897862233,4.0,16.0
267,27.0,0.8380884450784594,4.0,20.0
268,27.0,0.6755962871577958,4.0,17.0
269,27.0,0.6203769983297542,4.0,17.0
270,28.0,0.6963867800673554,4.0,19.0
271,28.0,0.7843801139890525,4.0,20.0
272,28.0,0.6983874630933454,4.0,22.0
273,28.0,0.8039046798736722,4.0,19.0
274,28.0,0.8250918338513704,4.0,25.0
275,28.0,0.5982565096005926,4.0,17.0
276,28.0,0.8648834412051091,4.0,21.0
277,28.0,0.6520993021393433,4.0,19.0
278,28.0,0.5940820290186222,4.0,17.0
279,28.0,0.7755946225439504,4.0,22.0
280,29.0,0.74828060522696,4.0,19.0
281,29.0,0.6470007676280294,4.0,20.0
282,29.0,0.7528713524207287,4.0,21.0
283,29.0,0.6381089779158805,4.0,20.0
284,29.0,0.8107367844426184,4.0,20.0
285,29.0,0.6821432500825173,4.0,22.0
286,29.0,0.7297252473879152,4.0,17.0
287,29.0,0.5677120652593287,4.0,16.0
288,29.0,0.7549457210558219,4.0,19.0
289,29.0,0.5966521186674769,4.0,19.0
290,30.0,0.7492826017642683,4.0,19.0
291,30.0,0.7517602837630367,4.0,22.0
292,30.0,0.7387329931972789,4.0,19.0
293,30.0,0.9979720354360124,4.0,26.0
294,30.0,0.7528763056041567,4.0,22.0
295,30.0,0.6801636643817418,4.0,18.0
296,30.0,0.7700946574683138,4.0,21.0
297,30.0,0.7810009563277016,4.0,20.0
298,30.0,0.8423072822262502,4.0,19.0
299,30.0,0.8186264086753137,4.0,19.0
300,31.0,0.7723200494284831,4.0,19.0
301,31.0,0.7175439495669109,4.0,20.0
302,31.0,0.7849776820070802,4.0,20.0
303,31.0,0.7954428820691778,4.0,21.0
304,31.0,0.7736448406599037,4.0,22.0
305,31.0,0.8276358402302987,4.0,21.0
306,31.0,0.5724600309437855,4.0,19.0
307,31.0,0.9042334566378957,4.0,23.0
308,31.0,0.7457350086832158,4.0,20.0
309,31.0,0.7754743317996174,4.0,19.0
310,32.0,0.7619521912350598,4.0,19.0
311,32.0,0.6428144309348216,4.0,19.0
312,32.0,1.037924151696607,4.0,24.0
313,32.0,0.6940630149298448,4.0,22.0
314,32.0,0.9527117550736862,4.0,23.0
315,32.0,0.6173761513567338,4.0,20.0
316,32.0,0.569743615373082,4.0,17.0
317,32.0,0.6317779325440255,4.0,19.0
318,32.0,0.8967943318634495,4.0,19.0
319,32.0,0.6015339114742594,4.0,19.0
320,33.0,0.794874265343482,4.0,19.0
321,33.0,0.7261461005954398,4.0,19.0
322,33.0,0.8459418958766375,4.0,28.0
323,33.0,0.6722120127671921,4.0,19.0
324,33.0,0.7500721223194537,4.0,23.0
325,33.0,0.920944210169163,4.0,23.0
326,33.0,0.7018569966369352,4.0,23.0
327,33.0,0.5353783822891044,4.0,18.0
328,33.0,0.858617529303941,4.0,23.0
329,33.0,0.8237473191655292,4.0,20.0
330,34.0,0.9066691592279291,4.0,23.0
331,34.0,1.1567216814783468,4.0,23.0
332,34.0,0.6852208194490074,4.0,18.0
333,34.0,0.9799324831207802,4.0,23.0
334,34.0,0.9841417910447761,4.0,23.0
335,34.0,0.8146543605198718,4.0,21.0
336,34.0,0.8394642520279192,4.0,20.0
337,34.0,0.7593403521848505,4.0,25.0
338,34.0,0.9514435695538057,4.0,25.0
339,34.0,0.80251548714098,4.0,21.0
340,35.0,0.9122265589543432,4.0,23.0
341,35.0,1.003146231361999,4.0,21.0
342,35.0,1.1095383772430483,4.0,27.0
343,35.0,0.8022243493322393,4.0,22.0
344,35.0,0.8980406386066764,4.0,27.0
345,35.0,0.831695836951058,4.0,21.0
346,35.0,0.7464053484751351,4.0,18.0
347,35.0,0.8060843428363239,4.0,20.0
348,35.0,0.8731241473396999,4.0,28.0
349,35.0,0.9033258816551849,4.0,27.0
350,36.0,0.9133024487094639,4.0,23.0
351,36.0,0.9704883320834621,4.0,30.0
352,36.0,0.9183266048533784,4.0,22.0
353,36.0,0.8629464088153296,4.0,19.0
354,36.0,1.1187948729242831,4.0,35.0
355,36.0,0.9129369850812736,4.0,36.0
356,36.0,0.9956690628209135,4.0,24.0
357,36.0,0.9865074098650741,4.0,24.0
358,36.0,1.0893632096359933,4.0,30.0
359,36.0,0.9846290933392737,4.0,22.0
