,initial_number_sheep,initial_number_wolves,sheep_gain_from_food,wolf_gain_from_food,sheep_reproduce,wolf_reproduce,grass_regrowth,run,wolves,sheep,grass,tick
96,62,62,12,25,5,5,25,32,426.0,1.0,2421.0,150
97,62,62,12,25,5,5,25,33,56.0,183.0,1011.0,50
98,62,62,12,25,5,5,25,33,251.0,260.0,761.0,100
99,62,62,12,25,5,5,25,33,288.0,16.0,2178.0,150
100,62,62,12,25,5,5,25,34,26.0,270.0,880.0,50
101,62,62,12,25,5,5,25,34,212.0,598.0,412.0,100
102,62,62,12,25,5,5,25,34,590.0,0.0,2303.0,150
103,62,62,12,25,5,5,25,35,75.0,194.0,1041.0,50
104,62,62,12,25,5,5,25,35,258.0,228.0,842.0,100
105,62,62,12,25,5,5,25,35,184.0,22.0,2170.0,150
106,62,62,12,25,5,5,25,36,74.0,190.0,1094.0,50
107,62,62,12,25,5,5,25,36,266.0,217.0,813.0,100
108,62,62,12,25,5,5,25,36,188.0,14.0,2212.0,150
109,62,62,12,25,5,5,25,37,50.0,313.0,794.0,50
110,62,62,12,25,5,5,25,37,342.0,296.0,662.0,100
111,62,62,12,25,5,5,25,37,274.0,0.0,2495.0,150
112,62,62,12,25,5,5,25,38,51.0,257.0,842.0,50
113,62,62,12,25,5,5,25,38,264.0,476.0,495.0,100
114,62,62,12,25,5,5,25,38,457.0,2.0,2359.0,150
115,62,62,12,25,5,5,25,39,64.0,205.0,991.0,50
116,62,62,12,25,5,5,25,39,270.0,315.0,676.0,100
117,62,62,12,25,5,5,25,39,312.0,3.0,2319.0,150
118,62,62,12,25,5,5,25,40,64.0,228.0,949.0,50
119,62,62,12,25,5,5,25,40,289.0,360.0,603.0,100
120,62,62,12,25,5,5,25,40,334.0,2.0,2397.0,150
121,62,62,12,25,5,5,25,41,54.0,356.0,696.0,50
122,62,62,12,25,5,5,25,41,382.0,203.0,812.0,100
123,62,62,12,25,5,5,25,41,210.0,5.0,2491.0,150
124,62,62,12,25,5,5,25,42,50.0,241.0,964.0,50
125,62,62,12,25,5,5,25,42,284.0,400.0,572.0,100
126,62,62,12,25,5,5,25,42,325.0,3.0,2445.0,150
127,62,62,12,25,5,5,25,43,61.0,312.0,747.0,50
128,62,62,12,25,5,5,25,43,372.0,233.0,785.0,100
129,62,62,12,25,5,5,25,43,249.0,1.0,2491.0,150
130,62,62,12,25,5,5,25,44,82.0,256.0,846.0,50
131,62,62,12,25,5,5,25,44,341.0,207.0,820.0,100
132,62,62,12,25,5,5,25,44,203.0,10.0,2365.0,150
133,62,62,12,25,5,5,25,45,72.0,237.0,911.0,50
134,62,62,12,25,5,5,25,45,335.0,217.0,791.0,100
135,62,62,12,25,5,5,25,45,186.0,10.0,2369.0,150
136,62,62,12,25,5,5,25,46,74.0,203.0,1052.0,50
137,62,62,12,25,5,5,25,46,295.0,229.0,826.0,100
138,62,62,12,25,5,5,25,46,204.0,9.0,2388.0,150
139,62,62,12,25,5,5,25,47,50.0,299.0,784.0,50
140,62,62,12,25,5,5,25,47,355.0,268.0,699.0,100
141,62,62,12,25,5,5,25,47,254.0,3.0,2443.0,150
142,62,62,12,25,5,5,25,48,63.0,220.0,944.0,50
143,62,62,12,25,5,5,25,48,287.0,222.0,775.0,100
144,62,62,12,25,5,5,25,48,206.0,7.0,2347.0,150
145,62,62,12,25,5,5,25,49,49.0,246.0,926.0,50
146,62,62,12,25,5,5,25,49,286.0,300.0,696.0,100
147,62,62,12,25,5,5,25,49,282.0,3.0,2434.0,150
148,62,62,12,25,5,5,25,50,72.0,231.0,944.0,50
149,62,62,12,25,5,5,25,50,316.0,236.0,723.0,100
150,62,62,12,25,5,5,25,50,195.0,9.0,2366.0,150
151,62,62,12,25,5,5,72,1,49.0,229.0,439.0,50
152,62,62,12,25,5,5,72,1,221.0,112.0,579.0,100
153,62,62,12,25,5,5,72,1,121.0,49.0,1057.0,150
154,62,62,12,25,5,5,72,2,56.0,218.0,477.0,50
155,62,62,12,25,5,5,72,2,176.0,198.0,371.0,100
156,62,62,12,25,5,5,72,2,175.0,35.0,1070.0,150
157,62,62,12,25,5,5,72,3,60.0,247.0,352.0,50
158,62,62,12,25,5,5,72,3,190.0,101.0,624.0,100
159,62,62,12,25,5,5,72,3,95.0,75.0,970.0,150
160,62,62,12,25,5,5,72,4,54.0,229.0,464.0,50
