noise,perc_correct_params,perc_density_correct,perc_directions_correct,perc_correct_cat_density,RMSE_density,NRMSE_density,point_pred_performance_density,directions_kappa,directions_f1,directions_mcc,sample_size,sample_method,summarise_runs,datapoints
clean,2.4248166948674563,3.1308926831769472,70.69859508793519,24.954273701481824,0.905905225567214,0.03164474140956033,-42.99256960567603,0.41414141414141414,0.7184466019417476,0.41550023305466516,198,full,full,timepoints
noise,2.5288724811567453,2.933425626826642,70.69859508793519,25.26143670204584,1.1801627145382312,0.04122361740348334,-52.69587974007097,0.41414141414141414,0.7184466019417476,0.41550023305466516,198,full,full,timepoints
clean,1.0128205128205128,1.5256410256410255,72.21794871794872,26.76923076923077,2.0761969138694134,0.07177940832388244,-7.977403795362021,0.4444444444444444,0.7342995169082125,0.44629245426346875,198,full,summarised,timepoints
noise,2.0384615384615383,2.551282051282051,72.21794871794872,22.743589743589745,3.0027012198921756,0.10365977517544449,-11.49777188799435,0.4444444444444444,0.7342995169082125,0.44629245426346875,198,full,summarised,timepoints
clean,2.4237912116084708,3.0313900425575553,70.60821412090448,25.766487207096343,0.9213023560159869,0.032362145074582294,-43.236753960113084,0.4121212121212121,0.7188405797101449,0.4138348212261255,198,full,full,endpoints
noise,1.7146849202686767,2.4222683689688767,70.60821412090448,24.853822488847868,1.173845785568051,0.04122003607852109,-52.70770959201477,0.4121212121212121,0.7188405797101449,0.4138348212261255,198,full,full,endpoints
clean,2.5128205128205128,3.0128205128205128,72.75641025641025,24.26923076923077,2.006696326041739,0.06949182661716917,-7.986788610864129,0.4545454545454546,0.7378640776699028,0.4560368411575594,198,full,summarised,endpoints
noise,1.5128205128205128,1.5128205128205128,72.75641025641025,22.743589743589745,2.5696196021010373,0.0891049057697811,-10.161989266719367,0.4545454545454546,0.7378640776699028,0.4560368411575594,198,full,summarised,endpoints
