noise,perc_correct_params,perc_density_correct,perc_directions_correct,perc_correct_cat_density,RMSE_density,NRMSE_density,point_pred_performance_density,directions_kappa,directions_f1,directions_mcc,sample_size,sample_method,summarise_runs,datapoints,algorithm
clean,1.919730426732442,2.7288367180722357,70.90725895281669,24.64366646852681,0.906246809271641,0.031671872297445613,-42.79430524595891,0.4181818181818182,0.7203883495145631,0.41955389386495456,198,full,full,timepoints,Linear Regression
noise,2.827308876845902,3.231349280886306,64.64049468487904,25.550229741745696,1.1744156463315236,0.041034848609855054,-52.2203021606219,0.29292929292929304,0.6722846441947565,0.2966351855031835,198,full,full,timepoints,Linear Regression
clean,0.5,0.5,72.1923076923077,27.743589743589745,2.0432572831122875,0.0706638469219132,-7.965393436499904,0.4444444444444444,0.7317073170731707,0.44555962543696015,198,full,summarised,timepoints,Linear Regression
noise,1.5128205128205128,1.5128205128205128,58.56410256410256,21.21794871794872,3.1416943185979336,0.10858443852230375,-12.140327402537649,0.1717171717171717,0.6095238095238096,0.17299271141392136,198,full,summarised,timepoints,Linear Regression
clean,1.3126288778662323,1.818704866175723,70.60118311910267,26.865857771655797,0.9206725116073244,0.032189843342913645,-43.222637767625805,0.4121212121212121,0.7193828351012536,0.41399158846397427,198,full,full,endpoints,Linear Regression
noise,1.9197201203680299,2.020730221378131,68.17639703413751,25.147660571225096,1.1748150674597386,0.04107581787586076,-52.75567054638909,0.36363636363636354,0.7019867549668874,0.3670138578440003,198,full,full,endpoints,Linear Regression
clean,1.5128205128205128,2.0256410256410255,72.67948717948718,26.28205128205128,1.9943381176592156,0.06889080288501692,-7.801491428714308,0.4545454545454546,0.7352941176470589,0.4553825555391872,198,full,summarised,endpoints,Linear Regression
noise,1.5,1.5,69.1923076923077,22.205128205128204,2.514720617325774,0.08700002093923451,-9.855874916580234,0.38383838383838387,0.708133971291866,0.38622992338632733,198,full,summarised,endpoints,Linear Regression
