noise,perc_correct_params,perc_density_correct,perc_directions_correct,perc_correct_cat_density,RMSE_density,NRMSE_density,point_pred_performance_density,directions_kappa,directions_f1,directions_mcc,sample_size,sample_method,summarise_runs,datapoints,algorithm
clean,2.4248166948674563,3.1308926831769472,70.69859508793519,24.954273701481824,0.9059052255671948,0.031644741409559654,-42.99256960567568,0.41414141414141414,0.7184466019417476,0.41550023305466516,198,full,full,timepoints,PLS
noise,2.6303953237963387,2.933425626826642,64.0312464749013,25.26143670204584,1.1801627145379496,0.0412236174034736,-52.69587974006214,0.28080808080808084,0.6654135338345865,0.283999528573815,198,full,full,timepoints,PLS
clean,2.5384615384615383,3.0384615384615383,71.17948717948718,27.26923076923077,1.9956667180226797,0.06918785204196903,-7.8656084549165275,0.4242424242424243,0.7246376811594203,0.4260064336151293,198,full,summarised,timepoints,PLS
noise,2.0128205128205128,2.0128205128205128,59.08974358974359,22.21794871794872,3.0155173780100886,0.10436964973713726,-11.60504197300852,0.18181818181818188,0.6124401913875599,0.1829510163408919,198,full,summarised,timepoints,PLS
clean,1.818704866175723,2.425278213865822,70.70165986575445,26.164401456598483,0.920305591499452,0.032187051199336764,-43.40508960548929,0.41414141414141414,0.720616570327553,0.41610236547609486,198,full,full,endpoints,PLS
noise,2.021750551454911,2.2242834951046055,68.38198066165315,24.34723481531124,1.1747906720316483,0.04107164110510732,-52.97201055815262,0.3676767676767676,0.7033175355450237,0.3708883114023462,198,full,full,endpoints,PLS
clean,3.0384615384615383,3.551282051282051,72.28205128205128,25.23076923076923,2.002340547443827,0.06942565539450904,-8.090906488273072,0.4444444444444444,0.7317073170731707,0.44555962543696015,198,full,summarised,endpoints,PLS
noise,2.5384615384615383,3.0384615384615383,70.25641025641025,23.256410256410255,2.5501984145386523,0.08836276340897309,-10.17029565396704,0.404040404040404,0.7149758454106281,0.4057204129667898,198,full,summarised,endpoints,PLS
