noise,perc_correct_params,perc_density_correct,perc_directions_correct,perc_correct_cat_density,RMSE_density,NRMSE_density,point_pred_performance_density,directions_kappa,directions_f1,directions_mcc,sample_size,sample_method,summarise_runs,datapoints,algorithm
clean,12.027175306363123,12.53071835102292,83.02981079833872,70.59349843613803,0.39284152215713175,0.013718452241051785,-15.52847810765255,0.6606060606060606,0.8356164383561644,0.6619907933841427,198,full,full,timepoints,Random Forest
noise,2.728903245654515,3.2349792339640056,73.03052863662,36.86166743577911,1.0166515740141362,0.03551381856748789,-41.223191558720806,0.4606060606060607,0.7327327327327328,0.4606822127204284,198,full,full,timepoints,Random Forest
clean,6.076923076923077,6.076923076923077,75.21794871794872,51.98717948717949,1.1385492695728174,0.03936000493802745,-3.722443273617544,0.505050505050505,0.7586206896551725,0.5056958712892093,198,full,summarised,timepoints,Random Forest
noise,2.0256410256410255,2.0256410256410255,69.64102564102564,34.80769230769231,2.0926163427279807,0.07224774893003055,-7.305745391426449,0.39393939393939403,0.6875,0.39466488146729556,198,full,summarised,timepoints,Random Forest
clean,5.557688972988823,6.465780164731775,77.98290792525927,58.1814858015659,0.46080463000886884,0.016096985892830505,-19.821756175815473,0.5595959595959596,0.7828685258964142,0.5598199095066734,198,full,full,endpoints,Random Forest
noise,2.0233093890722134,2.7293752256127584,63.53917977314146,26.570309889188547,1.0561240606279196,0.036902327371551635,-45.20688652764855,0.2707070707070707,0.6597549481621111,0.2735354726118445,198,full,full,endpoints,Random Forest
clean,5.038461538461538,5.038461538461538,72.14102564102564,43.3974358974359,1.2711165100613546,0.04402909686617052,-4.469463835706245,0.4444444444444444,0.7317073170731707,0.44555962543696015,198,full,summarised,endpoints,Random Forest
noise,2.5128205128205128,3.0128205128205128,66.14102564102564,27.73076923076923,2.046112902769767,0.07080254581707636,-7.526041449593872,0.3232323232323233,0.6633165829145728,0.32324881425670743,198,full,summarised,endpoints,Random Forest
