n,perc_correct_params,perc_density_correct,perc_direction_correct,perc_correct_cat_density,RMSE_density,NRMSE_density,RMSE_burn,NRMSE_burn,point_pred_performance_density,direction_kappa,direction_f1,direction_mcc,ticks_included
99,0.010101010101010102,0.030303030303030304,0.5505050505050505,0.21464646464646464,0.7281444602063968,0.024868587021666878,0.3016793396948209,0.010303366051446817,0.5250579375115509,0.10192640913260623,0.5572139303482586,0.10218163547383996,no
198,0.007575757575757576,0.030303030303030304,0.553030303030303,0.21212121212121213,0.7238169277198526,0.024720787204306174,0.29488586854687593,0.010071346119064217,0.5288923195188859,0.10719926631680832,0.5586034912718204,0.10750742642025479,no
396,0.010101010101010102,0.03535353535353535,0.5580808080808081,0.2222222222222222,0.7242429462073124,0.02473533717125261,0.3019493273680145,0.010312587040292477,0.5292441530731142,0.11773692519223906,0.5614035087719298,0.1181717369729483,no
594,0.0025252525252525255,0.020202020202020204,0.5555555555555556,0.22727272727272727,0.7246757375532643,0.02475011845413977,0.2907540157021289,0.009930229420873328,0.5289729192058521,0.11246943765281178,0.5599999999999999,0.11283732308370768,no
792,0.0025252525252525255,0.020202020202020204,0.5555555555555556,0.23484848484848486,0.72646588265342,0.024811257941751902,0.2910813768513057,0.009941409907261303,0.5279822358348079,0.11246943765281178,0.5599999999999999,0.11283732308370768,no
990,0.007575757575757576,0.025252525252525252,0.553030303030303,0.23232323232323232,0.7253980330308177,0.024774787278693897,0.2941773508027533,0.010047147850535038,0.5278837652663746,0.10719926631680832,0.5586034912718204,0.10750742642025479,no
1188,0.007575757575757576,0.025252525252525252,0.5555555555555556,0.2297979797979798,0.725294953402315,0.02477126676202217,0.2903569903646718,0.009916669667700778,0.5279866672227451,0.11246943765281178,0.5599999999999999,0.11283732308370768,no
1386,0.007575757575757576,0.025252525252525252,0.5555555555555556,0.22727272727272727,0.7250274768087851,0.02476213153500888,0.28989926106492075,0.00990103666965531,0.5282641442564399,0.11246943765281178,0.5599999999999999,0.11283732308370768,no
1584,0.0025252525252525255,0.020202020202020204,0.5555555555555556,0.23737373737373738,0.725936290097828,0.024793170571354228,0.2909185077164447,0.0099358473774684,0.5277948917779629,0.11246943765281178,0.5599999999999999,0.11283732308370768,no
99,0.0025252525252525255,0.022727272727272728,0.5959595959595959,0.22727272727272727,0.7268233772712689,0.02482346758763897,0.293797183482531,0.010034163855459305,0.5275965555845972,0.18610625834960418,0.631336405529954,0.18689133628254115,yes
198,0.007575757575757576,0.027777777777777776,0.6035353535353535,0.22727272727272727,0.7255232851299667,0.024779065059955117,0.291255674276703,0.009947362751687143,0.5278066905331337,0.2003395585738537,0.6423690205011389,0.2017285601272356,yes
396,0.007575757575757576,0.030303030303030304,0.5934343434343434,0.21717171717171718,0.7285235791206334,0.024881535210145272,0.2752473571075629,0.009400624775436715,0.523714662439431,0.18207009801406068,0.6247086247086248,0.18246847967301616,yes
594,0.0025252525252525255,0.022727272727272728,0.601010101010101,0.2297979797979798,0.7300562705481345,0.024933881787267305,0.3011335820194543,0.010284726587735523,0.5237324247992645,0.19586674892041944,0.6376146788990825,0.19688939063911295,yes
792,0.010101010101010102,0.027777777777777776,0.5909090909090909,0.2196969696969697,0.7310725634970592,0.024968591616183228,0.2766029709745432,0.009446923557149925,0.5223491510462187,0.17720090293453725,0.6214953271028036,0.17753094403055403,yes
990,0.0025252525252525255,0.022727272727272728,0.5984848484848485,0.23232323232323232,0.7298838343015649,0.024927992508370245,0.2773933555607675,0.009473917854212257,0.5227654849777912,0.19140083217753107,0.6327944572748269,0.1921201600913225,yes
1188,0.0025252525252525255,0.020202020202020204,0.5959595959595959,0.22727272727272727,0.7253247178227318,0.02477228331727973,0.30289362697308836,0.010344838053912286,0.5282454961528859,0.18694179242377568,0.6279069767441862,0.18741667713375335,yes
1386,0.0025252525252525255,0.020202020202020204,0.5959595959595959,0.23232323232323232,0.7292322007596641,0.02490573702703567,0.27715154697085126,0.009465659276018563,0.5237172166062214,0.18610625834960418,0.631336405529954,0.18689133628254115,yes
1584,0.0025252525252525255,0.020202020202020204,0.5959595959595959,0.22727272727272727,0.7294698393701315,0.024913853186379165,0.27516383082424367,0.009397772071393987,0.523525037517452,0.18652423993426437,0.6296296296296297,0.18714447528496536,yes
