,initial_number_sheep,initial_number_wolves,sheep_gain_from_food,wolf_gain_from_food,sheep_reproduce,wolf_reproduce,grass_regrowth,runs,CV_sheep,CV_wolves,CV_grass
224,62,188,12,25,15,5,72,7,1.5696013587830935,3.315599005752342,6.294277879291422
225,62,188,12,25,15,5,72,10,1.430892649653547,3.5453644557629542,7.464081546555899
226,62,188,12,25,15,5,72,15,1.3262662602121633,3.671485249495265,7.836471982462042
227,62,188,12,25,15,5,72,20,1.3492694224193154,3.4778025394198773,7.814955611706107
228,62,188,12,25,15,15,25,3,1.1088261750675463,1.0501954657207861,3.7872803204759973
229,62,188,12,25,15,15,25,5,1.9230782256130208,1.4409088414543543,4.692370376889847
230,62,188,12,25,15,15,25,7,1.7494844554114874,1.0180470294938655,3.4476776703377876
231,62,188,12,25,15,15,25,10,1.4501617252622994,0.9116275772979591,3.1225008467081166
232,62,188,12,25,15,15,25,15,1.3870447727209756,0.9618841451417978,3.1466801427245636
233,62,188,12,25,15,15,25,20,1.3557141249311462,1.0221351836813624,3.0116387285586415
234,62,188,12,25,15,15,72,3,1.3290522634149189,3.781368064975422,2.763416227840383
235,62,188,12,25,15,15,72,5,1.493275528739074,1.9461618041217765,2.9168755174733065
236,62,188,12,25,15,15,72,7,1.5386310488323023,1.1525425727336838,2.9144659926808174
237,62,188,12,25,15,15,72,10,1.5291226452056044,1.1442058241197217,3.4648559422481022
238,62,188,12,25,15,15,72,15,1.5094028867382392,1.1688519238532635,3.7651856389133083
239,62,188,12,25,15,15,72,20,1.5388337265621992,1.2739298501907457,3.726066181705032
240,62,188,12,72,5,5,25,3,1.721359976523322,2.8395408301315643,14.313809310802673
241,62,188,12,72,5,5,25,5,1.3339428651359269,3.4867375689850153,18.20389304286406
242,62,188,12,72,5,5,25,7,0.8146639693559076,3.7647800078035725,19.385001060443376
243,62,188,12,72,5,5,25,10,0.9458333333333334,2.5620013744800767,20.835027517767728
244,62,188,12,72,5,5,25,15,0.9419098260450494,2.5288874019413976,22.602512763728487
245,62,188,12,72,5,5,25,20,0.8497902754707214,2.5372010068365998,23.15998235074711
246,62,188,12,72,5,5,72,3,1.1263148458111012,5.826028223113251,14.440825550953955
247,62,188,12,72,5,5,72,5,1.1637436844328415,2.2825570942611133,11.643435082408468
248,62,188,12,72,5,5,72,7,0.839071541619892,2.3853816892683124,14.447685653164053
