n,perc_correct_params,perc_density_correct,perc_direction_correct,perc_correct_cat_density,RMSE_density,NRMSE_density,RMSE_burn,NRMSE_burn,point_pred_performance_density,direction_kappa,direction_f1,direction_mcc,ticks_included
99,0.012626262626262626,0.022727272727272728,0.5606060606060606,0.19444444444444445,0.6936504043724746,0.02369049877665987,0.2645481178993548,0.00903520970211523,0.5349953304428228,0.12300173098462462,0.5628140703517588,0.12351108101442022,no
198,0.005050505050505051,0.015151515151515152,0.5555555555555556,0.1994949494949495,0.6930226242640483,0.023669057970459893,0.28684067493532645,0.009796575646487574,0.5347037110864807,0.11246943765281178,0.5599999999999999,0.11283732308370768,no
396,0.010101010101010102,0.022727272727272728,0.5606060606060606,0.21464646464646464,0.6955004337671065,0.02375368351472682,0.26566185000616455,0.009073247406623993,0.536973665144465,0.12166020803589622,0.5693069306930694,0.12188403111694882,no
594,0.0025252525252525255,0.007575757575757576,0.5580808080808081,0.21717171717171718,0.7010570790384217,0.023943461675559177,0.2885101025591068,0.009853592225487005,0.5316436783013476,0.11773692519223906,0.5614035087719298,0.1181717369729483,no
792,0.015151515151515152,0.020202020202020204,0.5606060606060606,0.2222222222222222,0.6965417099002982,0.023789246603573948,0.2670032598589828,0.009119061073388795,0.5344318921532988,0.12255501222493877,0.565,0.12295588738197494,no
990,0.020202020202020204,0.022727272727272728,0.5631313131313131,0.20202020202020202,0.6943585571804984,0.02371468458139151,0.2753507600771963,0.00940415633529765,0.534798000337374,0.1326783815263079,0.5411140583554376,0.13528960038289367,no
1188,0.017676767676767676,0.027777777777777776,0.5580808080808081,0.20202020202020202,0.6957328567859913,0.02376162154404224,0.2774384976798958,0.009475459609700676,0.5338055144630027,0.11773692519223906,0.5614035087719298,0.1181717369729483,no
1386,0.007575757575757576,0.012626262626262626,0.5606060606060606,0.20707070707070707,0.6942392505454716,0.023710609857765123,0.2815658465805132,0.009616422483022118,0.5347726528228034,0.12255501222493877,0.565,0.12295588738197494,no
1584,0.007575757575757576,0.012626262626262626,0.5606060606060606,0.20707070707070707,0.6936730737904432,0.02369127301367504,0.2807142807728228,0.009587338641077867,0.5347547606512905,0.1212121212121211,0.5714285714285715,0.12136700910941024,no
99,0.012626262626262626,0.017676767676767676,0.5580808080808081,0.21717171717171718,0.6943843833528955,0.023715566632208064,0.29069192355470913,0.009928108764800448,0.5385596288556083,0.11773692519223906,0.5614035087719298,0.1181717369729483,yes
198,0.010101010101010102,0.020202020202020204,0.6414141414141414,0.20202020202020202,0.6926960396170059,0.02365790400423647,0.3477274285394657,0.011876063458620521,0.5388983013164959,0.2820958022673884,0.6536585365853659,0.28222567717874597,yes
396,0.020202020202020204,0.020202020202020204,0.5883838383838383,0.22474747474747475,0.6885552913183625,0.023516483496319067,0.36564878971115994,0.012488138334145455,0.541405447488942,0.17360577661699178,0.6128266033254157,0.17366158287348704,yes
594,0.005050505050505051,0.017676767676767676,0.6363636363636364,0.21464646464646464,0.6928064667122878,0.023661675461658246,0.3528401572106575,0.012050680371645807,0.5357515178789339,0.2730981032021211,0.6435643564356436,0.2736005325491944,yes
792,0.025252525252525252,0.030303030303030304,0.6186868686868687,0.20202020202020202,0.6878340107133606,0.023491849333082494,0.36972304393214944,0.012627287845238831,0.5390114690987595,0.24105193684317408,0.6098191214470284,0.24365410432512552,yes
990,0.020202020202020204,0.027777777777777776,0.6262626262626263,0.21464646464646464,0.6895602682969286,0.02355080684671462,0.3726878742976222,0.012728546793123074,0.538804615486342,0.25328712669452663,0.6318407960199004,0.2539213641524923,yes
1188,0.005050505050505051,0.017676767676767676,0.6237373737373737,0.21212121212121213,0.6893216901263125,0.02354265859822591,0.3683277184552826,0.012579632778227575,0.5374541007787064,0.24958030218242852,0.6227848101265824,0.25098802496357303,yes
1386,0.017676767676767676,0.027777777777777776,0.6237373737373737,0.20959595959595959,0.6888258765199605,0.023525724892773294,0.37594575682656417,0.012839814459918749,0.5390430063732189,0.24919835089326609,0.6246851385390428,0.25034835258479377,yes
1584,0.010101010101010102,0.022727272727272728,0.6212121212121212,0.20959595959595959,0.6910215770422115,0.0236007154646931,0.36770450558466267,0.012558347958589391,0.5372357467566431,0.24473603906011587,0.6192893401015228,0.24625151028136452,yes
