direction_true,direction_pred,density_true,density_pred,density_pred_lwr,density_pred_upr,burn_true,burn_pred,n,ticks_included
4,4,57,37.51998841428656,8.210863004100325,66.82911382447278,15.89059484856112,0.9436325678496869,99,no
4,4,33,29.934391099634333,0.5657048013596189,59.30307739790905,0.794874265343482,0.8186264086753137,99,no
8,4,19,18.9141800501572,-10.590109002163146,48.418469102477545,0.8839027706952236,0.5987014082131714,99,no
8,8,11,18.74947161358191,-10.75729133420477,48.256234561368586,0.55612468900922,0.8142365483085705,99,no
8,4,27,19.29152869119659,-10.207147059826806,48.79020444221999,1.6348455654814038,0.5987014082131714,99,no
8,4,18,18.799838219335065,-10.706166697997933,48.30584313666806,0.6563567703650423,0.4943857885034356,99,no
4,8,64,76.43637311969405,46.94217634240654,105.93056989698157,93.3361598124548,99.9978977905779,99,no
4,8,5,29.709390957432007,0.3384635141242889,59.08031840073973,0.347112653834017,1.6766594152915582,99,no
8,4,17,18.789633574419007,-10.716524816461195,48.29579196529921,0.6360490131886634,0.5451190875545119,99,no
8,4,34,19.53744787334842,-9.957610466656547,49.032506213353386,2.1242371197426313,0.6585733555502659,99,no
4,8,3,29.743364972424015,0.37277768007526646,59.11395226477276,0.41472265422498705,1.5625,99,no
8,4,88,68.72000394817518,39.29240157023608,98.14760632611427,100,97.24798293610311,99,no
4,4,36,29.99371759848323,0.6256176861359535,59.361817510830505,0.9129369850812736,0.7700946574683138,99,no
8,8,64,68.68884232633978,39.261611496816286,98.11607315586328,99.9379868035918,99.97926076136048,99,no
4,4,17,29.775442572683787,0.4051758735461384,59.14570927182143,0.47855869381627103,0.7700946574683138,99,no
4,8,63,74.66101895838614,45.1930474871603,104.12899042961197,89.80311564418734,99.99361185639452,99,no
8,8,57,68.53776609631178,39.11232920752097,97.9632029851026,99.63733749930256,99.97228381374724,99,no
4,4,41,30.068550415418073,0.701187449444312,59.435913381391835,1.0618580585373387,0.8186264086753137,99,no
8,4,92,68.72000394817518,39.29240157023608,98.14760632611427,100,97.80420226275687,99,no
8,4,92,68.72000394817518,39.29240157023608,98.14760632611427,100,97.7954388389772,99,no
4,4,90,79.78050010056683,50.23235475173499,109.32864544939866,99.99114087776184,99.80139421262736,99,no
8,4,34,19.66773331443759,-9.825421608470197,49.160888237345375,2.3835117072486796,0.6012988054197066,99,no
4,8,61,70.94146887993205,41.522986720545795,100.3599510393183,82.40102371252482,99.99327474892397,99,no
8,4,32,19.743671037776785,-9.748378636409083,49.23572071196266,2.534631600080305,0.6463453558889243,99,no
4,4,94,79.78495180815439,50.236730692425894,109.33317292388288,100,99.81900272490402,99,no
8,8,1,18.548780773120292,-10.961016022432027,48.05857756867261,0.1567398119122257,1.0442105263157897,99,no
4,8,63,75.76474984683747,46.280671607535254,105.2488280861397,91.9995956839259,99.9978977905779,99,no
8,8,56,68.54698945955062,39.12144339960969,97.97253551949154,99.65569245653472,99.98369172704612,99,no
8,4,25,18.865964782439796,-10.63904696184063,48.37097652672023,0.787951960348224,0.5294167876355563,99,no
4,4,86,79.74672258338666,50.19915177747836,109.29429338929495,99.9239219179099,99.7867038772052,99,no
8,4,91,68.72000394817518,39.29240157023608,98.14760632611427,100,97.24798293610311,99,no
4,4,26,29.800921649377614,0.4309092008210129,59.170934097934214,0.5292633392824174,0.8186264086753137,99,no
8,4,35,21.049173157671632,-8.4243559935454,50.52270230888867,5.132646549366396,0.6025027035377722,99,no
4,4,49,30.38015013364931,1.0158233267045524,59.74447694059407,1.6819571865443423,0.8186264086753137,99,no
8,4,34,19.959796590167606,-9.529124260768938,49.44871744110415,2.964732331038359,0.42840142800476,99,no
8,4,98,68.72000394817518,39.29240157023608,98.14760632611427,100,97.0742023192582,99,no
8,4,20,18.93953255623346,-10.564376987033103,48.44344209950002,0.9343555342597027,0.5294167876355563,99,no
4,4,30,29.958226183458805,0.5897757001783326,59.326676666739274,0.8423072822262502,0.8186264086753137,99,no
8,4,95,68.72000394817518,39.29240157023608,98.14760632611427,100,97.80420226275687,99,no
4,4,41,30.04091190111653,0.673277105140393,59.40854669709267,1.0068560235063664,0.7528763056041567,99,no
4,4,32,29.88373346151704,0.5145449598165008,59.252921963217574,0.6940630149298448,0.7700946574683138,99,no
8,8,69,68.70375946601996,39.27635084038691,98.13116809165301,99.96767266261806,99.98616937900512,99,no
8,4,33,19.806235521369167,-9.684905855171976,49.29737689791031,2.659138072486849,0.6463453558889243,99,no
4,4,84,79.742944753096765,50.19543816913755,109.29045133705597,99.9164038454231,99.7190731406029,99,no
4,4,99,79.78495180815439,50.236730692425894,109.33317292388288,100,99.7785315243416,99,no
4,8,15,29.769307053459496,0.39897907696340695,59.139635029955585,0.4663487016428193,1.7630502894163878,99,no
8,8,66,68.69464894966382,39.267348925677695,98.12194897364994,99.94954227636416,99.98841788278897,99,no
8,4,39,31.985319222761746,2.6310664660433183,61.33957197948017,26.896127842655194,1.037924151696607,99,no
4,4,20,29.841911030262906,0.4723068726311048,59.211515187894705,0.6108342710175213,0.7528763056041567,99,no
8,8,55,68.41588189548531,38.99188338798846,97.83988040298217,99.39478180291316,99.94829612220916,99,no
4,4,23,29.815017044208304,0.4451451005109135,59.184888987905694,0.5573138846841889,0.7528763056041567,99,no
4,4,51,30.90884289310668,1.5495478112948113,60.268137974918545,2.7340823970037453,0.7736448406599037,99,no
8,4,39,27.506074608172817,-1.8892586119028003,56.90140782824844,17.9822055342421,0.6963867800673554,99,no
4,4,99,79.78495180815439,50.236730692425894,109.33317292388288,100,99.75485799701046,99,no
