mean_wolves,mean_sheep,mean_grass,min_wolves,min_sheep,min_grass,max_wolves,max_sheep,max_grass,sd_wolves,sd_sheep,sd_grass,trend_wolves,trend_sheep,trend_grass,initial_number_sheep,initial_number_wolves,sheep_gain_from_food,wolves_gain_from_food,sheep_reproduce,wolves_reproduce,grass_regrowth,wolves_0,wolves_20,wolves_40,wolves_60,wolves_80,wolves_100,wolves_120,wolves_140,wolves_160,wolves_180,wolves_200,wolves_220,wolves_240,wolves_260,wolves_280,wolves_300,wolves_320,wolves_340,wolves_360,wolves_380,wolves_400,wolves_420,wolves_440,wolves_460,wolves_480,wolves_500,sheep_0,sheep_20,sheep_40,sheep_60,sheep_80,sheep_100,sheep_120,sheep_140,sheep_160,sheep_180,sheep_200,sheep_220,sheep_240,sheep_260,sheep_280,sheep_300,sheep_320,sheep_340,sheep_360,sheep_380,sheep_400,sheep_420,sheep_440,sheep_460,sheep_480,sheep_500,grass_0,grass_20,grass_40,grass_60,grass_80,grass_100,grass_120,grass_140,grass_160,grass_180,grass_200,grass_220,grass_240,grass_260,grass_280,grass_300,grass_320,grass_340,grass_360,grass_380,grass_400,grass_420,grass_440,grass_460,grass_480,grass_500
218.51738790166976,6.9418355075997065,2464.4300159345667,0,0,428.9886263267361,3972.837532815322,282.82829583311354,2997.979484438196,730.1762043461229,38.53780527397639,452.2194457681174,-0.01372462783850523,0,0.4050840134394153,215,244,14,95,18,17,36,580.1788762723875,3689.384134940687,994.897463281461,30.187734574932666,0,0,0,2.209886986980394,14.13638841925763,3.8107110856120423,0,0,0,17.359497704993146,9.462638901016147,21.030387096654557,15.09922080463395,0,0,17.777653209059196,0,0,0,0,0,0,273.4473241034193,0,0.32316960807507167,0.01610563910970856,0.02062017436505162,0,0.5094774560193251,0.5523892508614988,0.05293650364702586,0.2185419479160844,0,0.4505136299712473,0,0.06056551962563374,0.39814653142155165,0,0.12734095799783504,0,0.5331626315335319,0,0,0,0.10014615776598064,0.18108001096327744,0,0,855.34281535477,932.230250780416,2287.486921810061,2561.838332952488,2626.285578272806,2522.994888134234,2682.6783646652116,2508.230393617204,2551.426499585052,2255.0609344110776,2515.81989701053,2539.963379796012,2771.9538127410924,2723.8203253374395,2738.2253493904377,2725.1081809583184,2832.883673808242,2328.5007359629626,2714.8270150554767,2919.8859021506346,2320.9924452388987,2634.0590780972666,2410.73456347894,2407.9559541743047,2454.677167652515,2454.677167652515
241.52866080262945,8.106810689790727,2463.9898854798616,0,0,616.5255701600713,4596.5049577320715,321.39836785687993,3022.402701171395,819.9723644817991,44.74471196800817,454.4329970298387,-0.01016575758628319,0,0.45925880808765823,215,244,14,95,18,17,36,721.624400387959,4596.5049577320715,907.8277124376502,12.364760958855635,1.51691751503827,0,0,9.248330134977625,14.546444521263371,0,0,0,0,0.6995630203377768,13.335140078791197,13.005146258811669,6.268519236200152,2.3415049720102483,0,21.01380980543573,12.283408371874634,22.992591910885334,8.983294163916565,1.640561121579415,0,0,309.25784481661753,0.6346542246077042,0,0,0,0.10296949254912312,0.7518043302907786,0.07973449363132648,1.0016208317151292,0.38882334516487704,0,0.25964306048904506,0.8455606508616975,0,0,0,0,0.7873750255097133,0.7782041162156215,0.08421419758262542,0,0.742061645927034,0.40483586344063505,0.2391021520804607,0,0,858.3418531387064,1020.8206103213006,2405.9982999220224,2864.34040906505,2448.8395959606046,2567.807186109809,2525.146569189871,2509.8695157823836,2574.8361159898755,2688.8570581607614,2348.3678278948473,2885.293962104874,2737.1902601270294,2581.646935927872,2550.9149420486697,2333.141341431008,2469.3620730748617,2506.3001504611448,2546.8101098176357,2637.227186838604,2391.803298587426,2671.0978766000912,2701.9531200194565,2430.957206701231,2496.841894988132,2496.841894988132
202.6334797725092,6.494034484561248,2475.465944367205,0,0,678.038006258057,3748.7561693614048,277.50188872460745,3224.8930550349546,678.7867792964981,37.4574673172231,424.1670297875226,-0.01553017266239064,0,0.3785285993681752,215,244,14,95,18,17,36,855.7640223172258,3560.834241388291,584.1413772420491,32.5231936597914,9.466571671769437,0,1.0969993332688883,0.347926628155837,2.214370031321097,15.980665900181716,11.250747097367732,11.199239849917644,1.5978773212959094,17.371694050346253,11.803318712877662,19.99098463464275,0,0,0,0,0,2.2232832778287692,1.5207925192299032,0,24.512637657311704,24.512637657311704,246.2690577490976,0.12990144657693722,0.5895848432650932,0.0838299212611925,0.4712767702914909,0.18666262501058437,0,0,0.537923191830865,0,0.01369160533586875,0,0,0,0,0,0,0,0,0.39353697420794087,0.00270065629458798,0.00699783838059892,0.14745540919081304,0,0,0,958.244850977204,901.091726602205,2377.90035649654,2550.724038227338,2727.920851519421,2473.174937508045,2767.407997505781,2578.0649146422033,2462.44091066256,2753.267162526835,2554.751982203339,2544.248931327819,2710.638612967259,2669.0185716806586,2646.8667568941964,2468.382510104927,2507.5235369819247,2601.5519670601266,2535.630346426572,2479.240782242964,2528.4191194930827,2940.252041392286,2558.5063781665017,2510.09597315793,2869.1418147392715,2869.1418147392715
219.74696557252844,6.679019752749962,2479.2354837983207,0,0,489.01034771405546,4109.747361286487,291.3642868835243,3059.750020893337,747.4126484507862,37.93139961584897,445.5372094290829,-0.0195237266646088,0,0.32489474167606847,215,244,14,95,18,17,36,2706.9153436294705,2706.9153436294705,2299.893096304038,114.8998739901985,13.491777033646713,0,7.149884015187134,0.719509906356991,5.4614474347357485,0,0,25.320850529675145,0,0,0.22029465172225884,1.604029378466004,0,0,0,8.377321754383818,0,19.98297008431399,0,0,0,0,24.1938362579843,24.1938362579843,0.37269234390628186,0.1617662798651506,0,0,0,0.07257248513779968,0.5570060501916285,0.374475176231658,0,0,0,0.8871491291080963,0.4550833126171235,0,0,0.30551845106171466,0.4667427304425336,0.05167863027646257,0,0.2687827668883471,0,0.6246186831334218,0.8245986995695798,0.3210718427012592,935.227726607642,935.227726607642,1525.5941302747224,2640.8193291262687,2621.1367176431468,2472.976235733877,2865.678845056285,2642.135848092502,2598.565229997105,2598.3700596018234,2477.6198409488557,2359.8466926476876,2335.7689711670378,2584.703502401491,2499.3425886789178,2703.389465836008,2656.754094254085,2766.7864865446927,2471.039015215699,2605.3441347400035,2768.248390527358,2368.576133845906,2246.5724344775326,2603.391951717892,2624.245876025874,2649.0624149902605
212.454449929821,6.7691899799337385,2482.9091829639574,0,0,498.8584955766767,4116.497669496783,283.97587235512276,3059.3298951699194,732.012180309544,38.81170342397552,438.77381005438787,-0.01731559883742597,0,0.30608906922928925,215,244,14,95,18,17,36,1010.291547856064,1010.291547856064,3922.304302703211,432.03483919681474,4.642878191923014,0,4.675543054712123,9.46857951017603,0.9844258035169636,20.821475423624616,6.399995915967586,0,0,0,0,0,0,10.754349182338135,0,0,7.340170196961426,3.8664201342277904,17.036094740770242,1.655532949092818,7.200549633013603,14.515504099911428,234.2467802963851,234.2467802963851,0.5882256762615736,0.613385701689454,0,0.306334794141646,0,0.31442437744235635,0.00867478554545277,0.41663261939954455,0,0,0.07751101151079647,0,0.084948697815944,0.25577413488500267,0.1585064376146984,0,0,0.3725544672380065,0,0.8327772615526974,0,0,0.4472469532783257,0,673.8674182783474,673.8674182783474,1450.7525196231618,2697.022220201909,2378.3140089927915,2573.14703186927,2616.4731121775835,2697.659830561036,2665.8399564843853,2669.0656460985447,2831.3695796648863,2441.773558374522,2382.111136903255,2796.4473157531856,2683.3022874934923,2565.8744032238656,2768.8324924786407,2384.262359628369,3048.444308222566,2664.045456752074,2659.9784641172414,2441.5154715323138,2472.4344541615305,2996.3175203727787,2589.6006524817053,2419.1406588821383
199.83274768601464,5.569320681724189,2482.4205536918025,0,0,682.6175933927394,3837.4143161587153,271.81678591737085,3003.4528529073914,689.6643967917017,33.996200039513184,423.7938346255213,-0.01180502685884799,0,0.4506393241904717,215,244,14,95,18,17,36,1171.966471515492,1171.966471515492,3452.8651311371245,283.41793846656094,12.872233298620358,4.503325985991571,2.0425113506540127,0.5195795542368706,0,0,9.822863134606791,0,2.1364569803112032,0,0,0,0,4.312226021012117,24.18518215777027,1.759793116691062,2.7156350375331004,0,0,0,0,0,152.18371754868858,152.18371754868858,0,0.08189388165773642,0,0.365021961820983,0,0,0,0.6736376038739726,0.6846518643321271,0.1695631884130383,0.9058563703365862,0,0.14282120061397144,0,0,0,0.38241281729938087,0,0.306507055391404,0.02825124001341278,0,0.5891209051238109,0,0,801.6961466507747,801.6961466507747,1333.297697976897,2750.164152776432,2767.7078084665045,2570.107352792135,2594.6827967425,2681.7621683016346,2410.541624061942,2623.459942665073,2896.15141619533,2883.5645509102037,2618.3516377032684,2825.253943706559,2398.184531774962,2643.9163478767928,2544.2370241789276,2561.6029275446767,2578.747655206029,2290.415893160169,2455.395042092237,2379.9251713791286,2703.7857726896627,2745.525365435972,2398.055874568431,2758.6759635279323
208.8184863855267,6.855835805589044,2474.39486697878,0,0,535.6714949730243,4174.679514172357,293.3922373105142,2965.4208300311457,720.3508235395394,40.00440808545153,434.3845635543467,-0.00855033992418102,0,0.4304263023377142,215,244,14,95,18,17,36,645.0551542299204,4056.25732417283,734.6840781530287,22.34846177163672,20.749332083401622,0,11.949931514873576,0,0,0,0.24185273471133084,12.319764616336885,0,11.219175446114834,0,5.723448477545281,13.408842970520336,0,0.2412250492557571,12.233460660211811,1.035402250898258,10.134285212368432,0,0,14.75742377945016,14.75742377945016,292.7091097804808,0,0,0,0.2597528644975785,0,0.03139213710205393,0.1748314806618355,0.06965822914457755,0,0,0.24814474463669153,0.19896366425595796,0.4275016446510612,0,0.587896992472503,0.48854723153994967,0,0,0.20357675011549303,0.09915055126017217,0,0.31102639191895537,0.3550265859530601,0.15771729748222024,0.15771729748222024,682.9839477784603,1130.20936147821,2468.4698190100503,2391.4133060976105,2405.8044116877422,2625.0491835184034,2563.5956981562504,2781.6947014128964,2767.6046085949206,2682.2471382043477,2487.106586455469,2565.368115050634,2688.7128773465415,2604.987349880651,2518.044373167888,2615.2484850178107,2726.1277038498415,2792.641447240516,2604.4100075307224,2750.7672073050308,2753.8516734113205,2352.5097042415982,2542.6692542920505,2543.9000122997227,2777.4192787279612,2777.4192787279612
217.69708457492385,6.846101336111792,2473.0170899831996,0,0,424.0070501812696,4251.77848876616,289.3745287559326,2991.3885135882056,753.8021676832436,39.55590678437593,443.8042753057411,-0.01383926928187009,0,0.3997564424116433,215,244,14,95,18,17,36,941.778741023086,4244.5594266062635,462.5483095628544,41.72641795953345,1.4750705464297371,9.777485084450523,0,0,18.427785869712046,0,0,11.426329304554203,0,1.0866197151248806,0,0,0,0,0,1.1556774565918446,7.430240657765512,0,3.61144855202007,2.127793412674823,2.8399040963617974,2.8399040963617974,245.7715067728951,0,0.00280217296670477,0.06295783697935166,0.3063852330942344,0.6067989094164029,0,0.06628711207633123,0,0.03689614396999047,0.20446308842154473,0.08218838516429874,0.946056107360701,0.14600357906459968,0.752813489703204,0,0,0,0,0.3945531097439382,0.7868677279586762,0,0.4595147014955476,0,0.4088524215534154,0.4088524215534154,606.7065278014127,1362.479707156987,2573.5703924398294,2585.772757092865,2806.324037724266,2547.4981449185216,2672.4376566208266,2858.2811166247648,2787.8914749969545,2777.8842458261693,2637.7824933572215,2741.4089700778254,2882.1389957378697,2622.42625789597,2547.9647849367234,2608.959119115819,2446.258733471016,2273.0573433701015,2548.401296226133,2597.128594702422,2675.899118771205,2637.247413504406,2405.753245010041,2567.9352993416665,2902.7809227581633,2902.7809227581633
211.04360432002736,6.560286339834593,2482.9646413675973,0,0,512.6810191025081,3993.0294317201215,269.7332322488854,3125.9148990872413,711.0672304692441,36.85853712846993,443.8107825170185,-0.02489673489612699,0,0.3122403301855802,215,244,14,95,18,17,36,602.1611232105424,3867.6422882223023,966.6452159076928,48.07990557765589,19.072985019270607,6.633871755748352,0,0,0,6.27910008176173,6.476819504833645,3.821128459941312,0.6017020838017734,5.617376218968239,0,31.83542661476484,29.497229101078084,0,0,0,3.992516195353885,7.4749877816444,0.00103120743182131,2.375933706004007,0,0,260.05929464691343,0,0,0.1144458190864335,0.851870842997335,0.08137694752557328,0.0987478604069938,0,0.6630437740876894,1.14446077735504,0,0.11499762265166076,0,0.36942061407122145,0.47377160807566265,0.5002424579690176,0,0.4631207620510167,1.072308518740543,0,0.4850075957374668,0,0.00297209319655841,0.22612491610544133,0.1717985298420317,0.1717985298420317,779.9621492634222,1305.920668055277,2360.022971544236,2635.2728237319907,2686.3539260786956,2655.1210527167495,2686.791894720807,2549.5767534920446,2734.450682334787,2870.6042284416344,2449.6597165037883,2678.907518149081,2465.5706839572726,2764.900902995985,2621.342407327079,2608.0813688520607,2404.212630132278,2457.724051856036,2693.5926037861395,2374.71461365111,2296.909862972804,2573.688248995189,2800.306322535307,2655.464353698844,2640.4566910901667,2640.4566910901667
224.00152649564689,7.048081420905202,2486.8602661140035,0,0,455.1970618804331,4150.782595937445,301.6038229641427,3035.7017338242294,746.7174838519235,40.50289545930829,454.377837819588,-0.01401374578223721,0,0.3941885424898653,215,244,14,95,18,17,36,1028.1772251880257,4002.2743583603105,602.9582316287065,46.19635051142971,0,0,0,5.258469889724775,0,0,0,8.07617223864907,0,24.171987388486137,0,10.79703586035892,0,33.410255811281054,6.619758682802184,0,5.031466912889283,17.06465808351933,18.309567303577893,0,0,0,225.75685859700835,0.34926084350831843,0.3737382195915433,0.7512948421570865,0.11998820619872054,0.8132357456924757,0.2173121165908218,0.3809562867004425,0,0,0.23043352965250424,0.9220362512262116,0.0288908516306106,0,0.2348787504759984,0.15960934856878667,0,0.05586818548841713,0.13588941847963049,0,0.12829443312962563,0.3445731296562927,0.4245606212243402,0.7082058499362246,0,0,1003.0457115277292,1245.7064965021048,2339.072662024463,2843.09437286793,2384.8257395599217,2681.391390692728,2566.2205024388268,2664.095674588387,2486.210851551415,2732.5314815980546,2767.4896414254786,2458.7003787993385,2414.889838691569,2517.8743636958625,2862.113988412974,2799.1645331612135,2843.2493692973553,2753.2946692362575,2467.7799873292615,2536.9711145693104,2753.7249093276737,2816.761415559264,2365.671646625902,2567.5757886861657,2773.1846932451685,2773.1846932451685
