density,directions,mean_burn,sd_burn,trend_burn,end
1,4,0.3236245954692557,0,0,0.3236245954692557
1,4,0.46511627906976744,0,0,0.46511627906976744
1,4,0.16666666666666669,0,0,0.16666666666666669
1,4,0.16583747927031509,0,0,0.16583747927031509
1,4,0.16129032258064516,0,0,0.16129032258064516
2,4,0.16273393002441008,0,0,0.16273393002441008
2,4,0.3103180760279286,0,0,0.3103180760279286
2,4,0.24590163934426232,0,0,0.24590163934426232
2,4,0.15822784810126583,0,0,0.15822784810126583
2,4,0.24429967426710095,0,0,0.24429967426710095
3,4,0.21621621621621623,0,0,0.21621621621621623
3,4,0.42238648363252373,0,0,0.42238648363252373
3,4,0.2653927813163482,0,0,0.2653927813163482
3,4,0.41472265422498705,0,0,0.41472265422498705
3,4,0.7096069868995634,0,0,0.7096069868995634
4,4,0.16142050040355124,0,0,0.16142050040355124
4,4,0.6346687822292741,0,0,0.6346687822292741
4,4,0.20894274968658588,0,0,0.20894274968658588
4,4,0.4004805766920304,0,0,0.4004805766920304
4,4,0.5483689538807649,0.01052209613828443,0,0.5511811023622047
5,4,0.1929880990672242,0,0,0.1929880990672242
5,4,0.3770092107639516,0.00844694190620809,0,0.37926675094816686
5,4,0.3639973527465255,0,0,0.3639973527465255
5,4,0.4124365482233503,0,0,0.4124365482233503
5,4,0.5188459748720335,0.00870557791245683,0,0.5211726384364821
6,4,0.16034206306787815,0,0,0.16034206306787815
6,4,0.5395750381423734,0.02784696451288609,0,0.5470174524615785
6,4,0.40978785145680574,0.00733629541346212,0,0.411748558880044
6,4,0.39661554732945536,0,0,0.39661554732945536
6,4,0.61998811998812,0.01389091693931518,0,0.6237006237006237
7,4,0.1601464195836193,0,0,0.1601464195836193
7,4,0.315955766192733,0,0,0.315955766192733
7,4,0.4193817878028404,0.00625172495701579,0,0.42105263157894735
7,4,0.22639800769753224,0,0,0.22639800769753224
7,4,0.3777012813157392,0.0059629906718524,0,0.37929495760821064
8,4,0.1986886548778065,0,0,0.1986886548778065
8,4,0.4051493171273607,0.02051629556840948,0,0.4116839835326407
8,4,0.5890414953489049,0.01091084882271583,0,0.5919575423555827
8,4,0.712999742805704,0.02673147048533949,0,0.7201440288057611
8,4,0.3548895899053628,0,0,0.3548895899053628
9,4,0.26157652880876636,0.00990830524180608,0,0.2651113467656416
9,4,0.46979363971687765,0.00466261761884899,0,0.471039776692254
9,4,0.3969170674338997,0.03061381384193304,0,0.4105676544091396
9,4,0.4684455104182282,0.01402210083485962,0,0.472193074501574
9,4,0.34958923265163433,0,0,0.34958923265163433
10,4,0.2671330895213866,0.00891416617238652,0,0.2703132453490221
10,4,0.5336552564478643,0.01266440887280481,0,0.5370399620912968
10,4,0.5504459308807135,0.01741585677371581,0,0.5574136008918618
10,4,0.42693200965435585,0.01277946646058773,0,0.4303474657315907
10,4,0.2683080808080808,0,0,0.2683080808080808
11,4,0.34124131320393003,0.01148538658113559,0,0.34507548526240117
11,4,0.4142570034042902,0.00767330582579455,0,0.4163077806488659
11,4,0.3611789543403569,0.00387222894686213,0,0.36221385105766446
11,4,0.3688837920489297,0.01145081187955819,0,0.37270642201834864
11,4,0.5207569312014082,0.01931291150372255,0,0.5280915358662168
12,4,0.3275070621468926,0.01057744487179528,0,0.3310381355932203
12,4,0.4732760586938341,0.02133538386741014,0,0.4789781798829164
12,4,0.5823767724510466,0.03228838863908043,0,0.5941931127616475
12,4,0.487480021310602,0.01729289560469103,0,0.49280767181672885
12,4,0.4236760124610592,0.01066500182534019,0,0.4272363150867824
13,4,0.36139663892967855,0.01659035377231701,0,0.36710719530102787
13,4,0.5044261294261294,0.0247108245005925,0,0.5128205128205128
13,4,0.4543329177057357,0.01761520767064078,0,0.4613466334164589
13,4,0.47490379104233194,0.0128535524065901,0,0.4789977892409727
13,4,0.466875898860086,0.03797378207241152,0,0.4817535830422739
14,4,0.4069036461309865,0.01483998859298436,0,0.4114755972111099
14,4,0.439117199391172,0.02063233137249005,0,0.4452054794520548
14,4,0.44472955829777416,0.01261148249131146,0,0.4497751124437781
14,4,0.39699775212405225,0.00913028502363675,0,0.4000457195108012
14,4,0.3365622032288699,0.01545029869257832,0,0.3418803418803419
15,4,0.4111631870472944,0.01382989563272477,0,0.41542394546229233
15,4,0.46533424860069694,0.02766540690131951,0,0.4752349772943288
15,4,0.49111470113085626,0.0139833128917631,0,0.49542272482498656
15,4,0.4134758562008083,0.03360605541220872,0,0.42544139544777704
15,4,0.5616253952352628,0.03292095382808841,0,0.5747738158594997
16,4,0.4827149381604827,0.02344426861246959,0,0.49004900490049
16,4,0.6116625310173698,0.04066249803210199,0,0.6253101736972705
16,4,0.4675221326967075,0.02936433803665123,0,0.4774694121157864
16,4,0.5215713667963943,0.02339279930706353,0,0.5288893324019559
16,4,0.5389188894343534,0.05355430380556998,0,0.5596465390279823
17,4,0.46378991570304906,0.02180772766904128,0,0.4700573469963335
17,4,0.5662673156121303,0.01751056433346095,0,0.5709472107824785
17,4,0.5980046948356808,0.03623954984948173,0,0.6103286384976526
17,4,0.593748277192789,0.06118293614783808,0,0.6185567010309279
17,4,0.47042632385599453,0.02479261703415741,0,0.47855869381627103
18,4,0.4955555555555555,0.03221328100723408,0,0.5066666666666666
18,4,0.4884352549500613,0.03175043029011595,0,0.49938671806553353
18,4,0.4050661798265633,0.01185930253427514,0,0.4082357117500888
18,4,0.41237526148795406,0.0238445743707049,0,0.42338528060535086
18,4,0.5329381338447681,0.02484726468276655,0,0.5404934181849883
19,4,0.5196936542669585,0.03049986629619453,0,0.5302137687258037
19,4,0.4825253196081687,0.03962468048193238,0,0.4980906524987548
19,4,0.4503568211736992,0.03064171624393233,0,0.46272926131583375
19,4,0.5118051404662284,0.04403650265958379,0,0.5294167876355563
19,4,0.537225960494899,0.01954928138154099,0,0.5451190875545119
20,4,0.5241677336747759,0.03518700906496191,0,0.5361715749039693
20,4,0.4376030201520711,0.02744180344227269,0,0.4466422076886266
20,4,0.41819828458792824,0.01672584684264932,0,0.423525651270577
20,4,0.4209969588787518,0.02151152257475204,0,0.42840142800476
20,4,0.6323811043728056,0.0381575994051054,0,0.6463453558889243
21,4,0.530227759095078,0.03594341198250564,0,0.542647508407215
21,4,0.46562546985415726,0.02044450567844524,0,0.4736129905277402
21,4,0.4574519170015417,0.01758805058879312,0,0.4625066343164759
21,4,0.48520285172077754,0.0238846605850718,0,0.4923834436067087
21,4,0.5032247790429174,0.03868311038948339,0.0018910741301059,0.5219364599092284
22,4,0.5618159053273557,0.04697049619923624,0,0.5816066884769174
22,4,0.5462086164522192,0.03009130814208374,0,0.5565996819430389
22,4,0.4188495961580441,0.00795708103632118,0,0.42203303499963624
22,4,0.4555169166123307,0.02408283726522448,0,0.46366731869883365
22,4,0.6234154690211697,0.05811708407751487,0,0.6478082487583675
23,4,0.5830047166164076,0.05419653291768051,0,0.605427974947808
23,4,0.573865512026225,0.04736693328797396,0,0.5942099081047467
23,4,0.6001818485764029,0.04611228949726482,0,0.6168988701739794
23,4,0.6190810242020344,0.05514765066863147,0,0.6383725008768852
23,4,0.76848696433163,0.08517534324763754,0.00172022294089313,0.8050643363379894
24,4,0.6036157841464045,0.06596582095349768,0,0.6316909368974001
24,4,0.5600943171171047,0.07057538723804661,0.00109483457049639,0.591210668068055
24,4,0.5519836523125996,0.03537024900087346,0,0.5648591174906964
24,4,0.5841381328650863,0.05314415079692779,0,0.6036484245439468
24,4,0.7584343700579863,0.06996089210798376,0.00298491995908969,0.790722192936215
25,4,0.5921949556918883,0.06590462829547435,0,0.6198875255623723
25,4,0.6734799448217317,0.09008315310293756,0.00105006720430108,0.711945564516129
25,4,0.47560873567065515,0.03204838914501689,9.084714967067928e-4,0.48966613672496023
25,4,0.5694795274756856,0.0556741999851935,0,0.5914116739521729
25,4,0.5987989441774152,0.06691227898197827,0.00362259776485718,0.6339546088500064
26,4,0.6597925489474007,0.08008685858446835,0,0.6935493770330816
26,4,0.6243884403675573,0.05658938244341774,8.651192566895362e-4,0.6479743232604614
