density,directions,total_ticks,mean_burn,trend_burn,sd_burn,middle,end
1,4,13,0.32820784908271006,-6.126744895127816e-4,0.027405471526184,0.35351244932918907,0.34451433194512115
1,4,13,0.47080638160711863,2.836940804463173e-4,0.02534257145441043,0.4677981694483891,0.48532064475069303
1,4,13,0.17088031256195507,7.450135349948693e-4,0.01247360285914297,0.1794457462030647,0.1795851239497196
1,4,13,0.1630041729897215,8.52718727876911e-4,0.00735481345087756,0.15924506466586458,0.15755560645387737
1,4,13,0.16184850999231468,-8.260601302073252e-4,0.0114701190141906,0.15673547162891535,0.16341081734118773
2,4,13,0.15932210085197032,-9.928010977367134e-4,0.01471300109596165,0.15470523551857368,0.14824502448636026
2,4,13,0.30910118162122063,-6.108780968814517e-4,0.01919777492724882,0.32307436658370736,0.3146308928316257
2,4,13,0.2431184400258432,-7.012943959006646e-4,0.01098391398935782,0.22850807510734455,0.2359085580171728
2,4,13,0.15941798065450938,-5.761980455803648e-5,0.0109501842840946,0.16786133036591727,0.1579681598808003
2,4,13,0.2400403846221657,5.054169725698202e-5,0.0119049765925735,0.22951720811957815,0.24726089495527231
3,4,13,0.21807148186939235,-2.792315147881891e-4,0.00872269284321212,0.22023053971569384,0.2188874929146457
3,4,13,0.4214302276843269,4.665523819229062e-4,0.02749734061021241,0.4325346846664899,0.4677056870019168
3,4,13,0.2675263408875778,-3.070848748965016e-5,0.01226673497258858,0.27674201769340484,0.28207192681462084
3,4,13,0.4252260484604381,0.00234147006732218,0.03296982709990043,0.4337513874141312,0.4568772277243997
3,4,13,0.715057517820248,0.00150534015105515,0.04538727383455398,0.7402413331654999,0.6358347498288408
4,4,13,0.16461190970677134,3.8178897237032855e-4,0.00876675903565021,0.1814085323045254,0.17753496006627725
4,4,13,0.6340922934300834,0.00353956642418484,0.04328112393428851,0.6159122087599437,0.6159713592814555
4,4,13,0.20836506000598057,-0.00172850627989146,0.01184520732482709,0.2154402992737019,0.21017028646609
4,4,13,0.4000613204145494,-0.00118466329435621,0.02820894421099947,0.4553338593461131,0.38325908061747416
4,4,14,0.5575963527677223,-4.803520728511867e-4,0.02931775747030701,0.5515994743393328,0.5577747492230739
5,4,13,0.19634430284969437,-2.88703600273251e-4,0.01346199715182829,0.2015233477463659,0.18592565711080652
5,4,14,0.3760043051638846,0.00312243780934885,0.0205359250520329,0.37943406559064313,0.3989948380845848
5,4,13,0.3564626629471989,9.13807603347512e-4,0.02219222418200028,0.33374827507216837,0.35950612566854334
5,4,13,0.4100803286064336,-0.00125940099485253,0.0233019508157455,0.4430893396115509,0.3909263865631842
5,4,14,0.5238971438228885,6.054616472867587e-4,0.03375334579840889,0.4949991194790974,0.5160020622333774
6,4,13,0.15651310638452529,-3.424873775904891e-5,0.01083026363124011,0.15106536957708427,0.15250057772288808
6,4,14,0.5639623543725186,0.00142088615050038,0.03706998479643517,0.5993199788589393,0.5547003561327674
6,4,14,0.4157317837725004,0.00159065514439478,0.02405587829952566,0.42413948304142135,0.41972225793060264
6,4,13,0.3863944824466696,0.00252364167069441,0.0261124644947034,0.3801051805074136,0.393210334425782
6,4,14,0.6276849704482546,0.00679727977305706,0.04816339737790937,0.5268821168806159,0.7019734112639899
