mean_wolves,mean_sheep,mean_grass,min_wolves,min_sheep,min_grass,max_wolves,max_sheep,max_grass,sd_wolves,sd_sheep,sd_grass,trend_wolves,trend_sheep,trend_grass,initial_number_sheep,initial_number_wolves,sheep_gain_from_food,wolves_gain_from_food,sheep_reproduce,wolves_reproduce,grass_regrowth,wolves_50,wolves_100,wolves_150,wolves_200,wolves_250,wolves_300,wolves_350,wolves_400,wolves_450,wolves_500,sheep_50,sheep_100,sheep_150,sheep_200,sheep_250,sheep_300,sheep_350,sheep_400,sheep_450,sheep_500,grass_50,grass_100,grass_150,grass_200,grass_250,grass_300,grass_350,grass_400,grass_450,grass_500
148.136,8.906,2593.456,0,0,2352,2521,306,2601,484.73749843474826,46.43927622986288,38.17563125402495,0,0,0,225,227,45,55,17,14,1,447,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601
170.028,10.662,2592.114,0,0,2320,2870,357,2601,553.0343725759739,53.92795383109596,43.626454578365134,0,0,0,225,227,45,55,17,14,1,727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601
157.318,10.102,2592.536,0,0,2344,2700,317,2601,508.1228616792618,50.24700108699496,41.12545818129255,0,0,0,225,227,45,55,17,14,1,670,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601
142.86,8.79,2593.654,0,0,2345,2381,325,2601,463.30506101176815,46.81338361805888,37.811873261173375,0,0,0,225,227,45,55,17,14,1,503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601
142.972,8.958,2593.464,0,0,2344,2356,314,2601,462.3586034371424,46.70004308400685,38.09881551291292,0,0,0,225,227,45,55,17,14,1,516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601
160.788,10.144,2592.584,0,0,2320,2676,356,2601,519.0142914462481,52.31329300713635,42.071926959388875,0,0,0,225,227,45,55,17,14,1,609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601
165.712,10.448,2592.314,0,0,2326,2817,337,2601,537.4273134951193,52.16329470642415,42.29725190881881,0,0,0,225,227,45,55,17,14,1,769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601
173.746,11.034,2592.008,0,0,2324,3110,351,2601,575.9072875834995,55.60147382744065,44.103493879109955,0,0,0,225,227,45,55,17,14,1,727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601
169.85,10.376,2592.282,0,0,2320,2944,350,2601,555.1045032415411,52.08697274231742,42.64419692129428,0,0,0,225,227,45,55,17,14,1,716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601
147.452,8.998,2593.37,0,0,2350,2455,308,2601,477.3802756200786,46.13209659958397,38.12201037918516,0,0,0,225,227,45,55,17,14,1,567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601
2122.32,1308.502,2276.47,0,0,352,15861,17559,2601,4272.985307777334,3870.883217013335,745.7699932725448,-0.8529411764705882,0,0,152,13,37,44,19,7,6,332,9190,9884,1074,58,18,5,0,0,0,14550,0,0,0,0,0,0,0,0,0,373,2601,2601,2601,2601,2601,2601,2601,2601,2601
2096.12,1355.19,2270.668,0,0,346,15952,17737,2601,4265.6063537004275,3971.03825914725,751.3203113162806,-0.7751404494382023,0,0,152,13,37,44,19,7,6,290,8547,10487,1069,63,0,0,0,0,0,15104,0,0,0,0,0,0,0,0,0,387,2601,2601,2601,2601,2601,2601,2601,2601,2601
2119.844,1259.086,2282.872,0,0,349,15938,17204,2601,4273.760153701507,3775.4929910217697,737.0866251683068,-0.824678596720597,0,0,152,13,37,44,19,7,6,375,9763,9659,1046,40,0,0,0,0,0,14045,0,0,0,0,0,0,0,0,0,381,2601,2601,2601,2601,2601,2601,2601,2601,2601
2145.472,1160.922,2294.09,0,0,347,16133,16345,2601,4335.4949676415135,3544.4733705962203,726.0100268026855,-0.7691138648585457,0,0,152,13,37,44,19,7,6,438,10909,9250,896,18,1,0,0,0,0,13341,0,0,0,0,0,0,0,0,0,391,2601,2601,2601,2601,2601,2601,2601,2601,2601
2133.834,1416.91,2259.478,0,0,354,15892,17640,2601,4293.876019283971,4047.1654547765497,762.8698751483229,-0.8450352112676056,0,0,152,13,37,44,19,7,6,262,7172,11666,1320,86,0,0,0,0,0,15389,0,0,0,0,0,0,0,0,0,354,2601,2601,2601,2601,2601,2601,2601,2601,2601
2085.3,1266.972,2281.352,0,0,344,15421,16945,2601,4171.856906233984,3778.213291301211,739.5220251943108,-0.8177653001586374,0,0,152,13,37,44,19,7,6,337,9482,9558,1114,42,0,0,0,0,0,14215,0,0,0,0,0,0,0,0,0,402,2601,2601,2601,2601,2601,2601,2601,2601,2601
2076.018,1284.72,2280.152,0,0,358,15726,17325,2601,4211.304938882069,3816.6690822452415,740.2682372100293,-0.8696784420289855,0,0,152,13,37,44,19,7,6,334,9509,9553,920,46,0,0,0,0,0,14438,0,0,0,0,0,0,0,0,0,387,2601,2601,2601,2601,2601,2601,2601,2601,2601
2115.842,1137.464,2298.354,0,0,354,16042,16206,2601,4283.565525617709,3516.670916844332,719.8818405910971,-0.9244390918417412,0,0,152,13,37,44,19,7,6,470,11336,8381,868,21,0,0,0,0,0,13519,0,0,0,0,0,0,0,0,0,389,2601,2601,2601,2601,2601,2601,2601,2601,2601
2115.83,1175.738,2292.338,0,0,350,16250,16916,2601,4292.6373268119305,3605.512365836012,728.3245932840416,-0.9730936293436294,0,0,152,13,37,44,19,7,6,427,11180,8796,839,34,0,0,0,0,0,13640,0,0,0,0,0,0,0,0,0,386,2601,2601,2601,2601,2601,2601,2601,2601,2601
2097.768,1339.354,2271.792,0,0,339,16213,17486,2601,4267.064938873221,3929.391235757939,749.6848641442976,-0.7487308336554568,0,0,152,13,37,44,19,7,6,298,8468,10159,1122,46,0,0,0,0,0,15055,0,0,0,0,0,0,0,0,0,378,2601,2601,2601,2601,2601,2601,2601,2601,2601
2107.976,1051.642,2311.224,0,0,350,16121,15851,2601,4291.012813468949,3343.975115484857,706.3771508071059,-0.9701173619084068,0,0,152,13,37,44,19,7,6,569,12409,7581,610,42,0,0,0,0,0,12879,0,0,0,0,0,0,0,0,0,389,2601,2601,2601,2601,2601,2601,2601,2601,2601
2106.798,1204.378,2292.306,0,0,350,15755,16842,2601,4237.866511150234,3684.6036099750654,727.9542617351427,-0.8687327988512624,0,0,152,13,37,44,19,7,6,416,10638,8833,949,41,0,0,0,0,0,14284,0,0,0,0,0,0,0,0,0,361,2601,2601,2601,2601,2601,2601,2601,2601,2601
2163.428,1197.054,2287.032,0,0,313,15858,16673,2601,4295.235751053749,3638.874508754723,733.2255713304779,-1.0701344482702082,0,0,152,13,37,44,19,7,6,402,9806,9854,1141,75,2,0,0,0,0,14067,0,0,0,0,0,0,0,0,0,407,2601,2601,2601,2601,2601,2601,2601,2601,2601
2141.206,1294.914,2277.908,0,0,366,15945,17435,2601,4340.784463559803,3846.5266385358536,743.1057393235711,-0.6828095684803002,0,0,152,13,37,44,19,7,6,333,9291,10277,1060,21,0,0,0,0,0,15197,0,0,0,0,0,0,0,0,0,375,2601,2601,2601,2601,2601,2601,2601,2601,2601
2118.818,1305.444,2274.524,0,0,347,15969,17342,2601,4317.437939983297,3850.4882472679615,747.3067430181001,-0.6836971998101566,0,0,152,13,37,44,19,7,6,338,8507,10574,1028,26,0,0,0,0,0,14456,0,0,0,0,0,0,0,0,0,374,2601,2601,2601,2601,2601,2601,2601,2601,2601
59.002,3.258,2479.402,0,0,1182,1015,113,2588,194.12136462638216,16.074957060253006,333.49206033219025,0,0,0,109,88,10,97,5,18,40,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2297,2588,2588,2588,2588,2588,2588,2588,2588,2588
58.99,3.554,2488.74,0,0,1130,962,117,2600,192.05854020514545,17.16602542400877,342.94257773459174,0,0,0,109,88,10,97,5,18,40,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2318,2600,2600,2600,2600,2600,2600,2600,2600,2600
58.188,3.274,2489.418,0,0,1134,976,114,2601,189.0333088100596,16.39611506358615,345.0922610161324,0,0,0,109,88,10,97,5,18,40,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2301,2601,2601,2601,2601,2601,2601,2601,2601,2601
56.94,3.002,2492.484,0,0,1161,934,100,2601,187.88644184735665,14.79526260636094,336.46037048337746,0,0,0,109,88,10,97,5,18,40,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2320,2601,2601,2601,2601,2601,2601,2601,2601,2601
55.348,3.506,2484.752,0,0,1161,902,105,2598,176.80181180438913,16.72966608916358,343.8496527020591,0,0,0,109,88,10,97,5,18,40,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2261,2598,2598,2598,2598,2598,2598,2598,2598,2598
59.196,467.902,700.776,0,1,176,986,906,2532,196.1835608890976,268.9972331062862,730.3501849176315,0,0.7700990225109052,-0.8031544957774466,109,88,10,97,5,18,40,125,0,0,0,0,0,0,0,0,0,1,40,527,783,614,524,604,583,591,600,2305,2024,303,225,258,351,310,317,309,288
56.566,3.424,2480.322,0,0,1191,875,109,2591,183.74810032418156,16.090308264296247,338.0699289640229,0,0,0,109,88,10,97,5,18,40,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2259,2591,2591,2591,2591,2591,2591,2591,2591,2591
61.268,3.142,2493.422,0,0,1168,1149,112,2601,209.42482587167828,16.397548450618487,336.94147716490494,0,0,0,109,88,10,97,5,18,40,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2353,2601,2601,2601,2601,2601,2601,2601,2601,2601
58.53,3.424,2487.904,0,0,1162,962,113,2601,190.69426237673437,16.91675433274092,347.1207923374022,0,0,0,109,88,10,97,5,18,40,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2288,2601,2601,2601,2601,2601,2601,2601,2601,2601
63.46,471,681.426,0,1,191,1075,908,2488,208.71284220431193,274.0429219047487,700.6300317619947,0,0.9166666666666666,-1,109,88,10,97,5,18,40,182,0,0,0,0,0,0,0,0,0,4,55,444,904,619,582,602,583,518,558,2247,1912,372,198,259,270,275,284,318,305
58.802,3.868,2476.686,0,0,1076,941,114,2598,186.2408604797144,18.062754557497836,365.07940142205416,0,0,0,109,88,10,97,5,18,40,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2209,2598,2598,2598,2598,2598,2598,2598,2598,2598
59.506,4.032,2477.698,0,0,1189,908,110,2601,183.9721213849908,17.32811308267614,356.7662415338598,0,0,0,109,88,10,97,5,18,40,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2127,2601,2601,2601,2601,2601,2601,2601,2601,2601
58.258,3.54,2484.764,0,0,1112,976,114,2601,189.3603075836548,17.314502128791805,356.22592567673746,0,0,0,109,88,10,97,5,18,40,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2284,2601,2601,2601,2601,2601,2601,2601,2601,2601
62.012,3.328,2485.982,0,0,1148,1034,109,2600,202.90206097695852,16.00902851480926,348.25575921102484,0,0,0,109,88,10,97,5,18,40,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2283,2600,2600,2600,2600,2600,2600,2600,2600,2600
58.07,3.462,2488.008,0,0,1196,957,115,2601,187.35684207561007,16.62628710343026,340.74524586729353,0,0,0,109,88,10,97,5,18,40,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2249,2601,2601,2601,2601,2601,2601,2601,2601,2601
127.472,18.422,2272.032,0,0,495,657,245,2601,202.04724049286483,51.2170507602415,649.1525715101161,-0.5078695921436787,0,0.2290625845987252,46,189,9,52,16,3,53,471,505,142,12,1,0,0,0,0,0,110,4,0,0,0,0,0,0,0,0,524,2135,2556,2601,2601,2601,2601,2601,2601,2601
132.886,19.026,2275.076,0,0,372,748,257,2601,216.8379727281033,54.189799711620736,673.6973195588369,-0.4394201530879731,0,0,46,189,9,52,16,3,53,441,620,127,10,1,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,390,2235,2598,2601,2601,2601,2601,2601,2601,2601
347.654,93.896,1379.718,92,1,59,665,602,2470,141.34374550288942,118.85610936534536,699.3235455199813,-0.00363636363636363,0.05405405405405406,-0.3961795812648392,46,189,9,52,16,3,53,466,531,143,121,400,426,357,529,245,339,105,3,8,578,27,58,116,16,42,192,438,2257,2461,232,1826,1520,967,1410,2036,222
119.034,19.792,2283.118,0,0,395,644,259,2601,195.4664347098918,56.93783073790462,667.6222847585395,-0.30505202539100845,0,0,46,189,9,52,16,3,53,405,577,86,11,2,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,402,2289,2601,2601,2601,2601,2601,2601,2601,2601
