mean_wolves,mean_sheep,mean_grass,min_wolves,min_sheep,min_grass,max_wolves,max_sheep,max_grass,sd_wolves,sd_sheep,sd_grass,trend_wolves,trend_sheep,trend_grass,initial_number_sheep,initial_number_wolves,sheep_gain_from_food,wolves_gain_from_food,sheep_reproduce,wolves_reproduce,grass_regrowth,wolves_10,wolves_20,wolves_30,wolves_40,wolves_50,wolves_60,wolves_70,wolves_80,wolves_90,wolves_100,wolves_110,wolves_120,wolves_130,wolves_140,wolves_150,wolves_160,wolves_170,wolves_180,wolves_190,wolves_200,wolves_210,wolves_220,wolves_230,wolves_240,wolves_250,wolves_260,wolves_270,wolves_280,wolves_290,wolves_300,wolves_310,wolves_320,wolves_330,wolves_340,wolves_350,wolves_360,wolves_370,wolves_380,wolves_390,wolves_400,wolves_410,wolves_420,wolves_430,wolves_440,wolves_450,wolves_460,wolves_470,wolves_480,wolves_490,wolves_500,sheep_10,sheep_20,sheep_30,sheep_40,sheep_50,sheep_60,sheep_70,sheep_80,sheep_90,sheep_100,sheep_110,sheep_120,sheep_130,sheep_140,sheep_150,sheep_160,sheep_170,sheep_180,sheep_190,sheep_200,sheep_210,sheep_220,sheep_230,sheep_240,sheep_250,sheep_260,sheep_270,sheep_280,sheep_290,sheep_300,sheep_310,sheep_320,sheep_330,sheep_340,sheep_350,sheep_360,sheep_370,sheep_380,sheep_390,sheep_400,sheep_410,sheep_420,sheep_430,sheep_440,sheep_450,sheep_460,sheep_470,sheep_480,sheep_490,sheep_500,grass_10,grass_20,grass_30,grass_40,grass_50,grass_60,grass_70,grass_80,grass_90,grass_100,grass_110,grass_120,grass_130,grass_140,grass_150,grass_160,grass_170,grass_180,grass_190,grass_200,grass_210,grass_220,grass_230,grass_240,grass_250,grass_260,grass_270,grass_280,grass_290,grass_300,grass_310,grass_320,grass_330,grass_340,grass_350,grass_360,grass_370,grass_380,grass_390,grass_400,grass_410,grass_420,grass_430,grass_440,grass_450,grass_460,grass_470,grass_480,grass_490,grass_500
997.327229030122,31.276282051282053,2000.3794871794871,0,0,758.3333333333334,3940.4,275.46666666666664,2601,1303.0729886857928,78.56054683043669,735.6437937257402,-15.581645658263303,0,20.65524207593173,215,244,14,95,18,17,36,1028.8,2931.3333333333335,3802.866666666667,1853.4666666666667,487.8666666666667,101.46666666666668,21.266666666666666,0.10208816705336426,3.3333333333333335,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,213.2,3.6666666666666665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,783.4,924.8,1276,1898.5333333333333,2540.133333333333,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601
696.1498460369128,43.50678466076696,2564.7286135693216,0,0,2341.266666666667,2683,328.53333333333336,2601,891.0935130248124,99.08948078163118,79.89023656342404,-10.587612135624653,0,0,225,227,45,55,17,14,1,710.4666666666667,1779.0666666666666,2683,1746.2,608.7333333333333,160.33333333333334,33.8,6,4.142857142857143,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,321.2,57.06666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2343,2530.6,2600.6666666666665,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601
2973.5002186348606,1756.3941947565545,2154.8913857677903,0,0,361.06666666666666,15781,16988.533333333333,2601,4790.101528542279,4331.398003470356,836.8732406678627,-2.747932367149758,0,0,152,13,37,44,19,7,6,24,49.6,96.66666666666669,190.46666666666667,374.73333333333335,735.5333333333333,1440.4,2837.6666666666665,5519.133333333333,9747.133333333331,13817.6,15732.266666666666,15030.933333333332,12583.866666666669,9634.133333333331,6786.733333333334,4477.333333333333,2849.866666666667,1703.6,1003.7333333333332,568.8666666666667,320.2,173.93333333333334,93.86666666666666,43.93333333333333,21.333333333333332,14.333333333333334,0.5384615384615384,0.2850678733031674,0.10294117647058824,13,9,7,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,795.8666666666667,3994.4,12501.733333333334,16988.533333333333,14278.6,9729.8,3900.6,235.6,0.13333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1177.3333333333333,480.2,384.8666666666667,361.06666666666666,382.26666666666665,374.53333333333336,505.46666666666664,1619.2666666666669,2574.733333333333,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601
58.930983663676706,468.4516414890526,703.3956366034151,0,0.02562111801242236,196,953.9333333333332,902,2600.1082949308757,191.1645160141198,272.521237936182,742.584284271878,0,0.6972691161866931,-0.6174655047204067,109,88,10,97,5,18,40,388.8,777.9333333333333,941.2666666666668,563.0666666666667,182.8,36.2,7.933333333333334,0.02594339622641509,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.26666666666668,29.133333333333333,4,0.4,0.3333333333333333,0.6666666666666666,1.6,0.04599056603773584,14.25,47.5,74.5,127,198,314,485.5,671.5,811.5,891,866.5,843.5,741.5,704.5,692,670,616.5,574,579,598,604.5,553,580,604.5,594.5,601,603,594.5,596.5,595.5,594.5,583,600,590.5,585.5,543.5,554.5,573.5,616.5,615.5,601.5,579,1168.5333333333333,1238.2666666666669,1496.5333333333333,1812.1333333333337,2273.4,2518.4666666666667,2573.866666666667,2599.942216981132,2397.25,1968,1680.5,1305,898,560,337.5,265.5,244,210.5,200.5,211.5,264.5,251,254,259.5,258.5,322.5,312,279.5,273,310.5,317.5,309,298,275,292.5,298,303.5,293,303.5,300.5,296.5,293.5,289.5,328,313.5,318.5,285,277.5,293.5,296.5
302.03387288359454,64.95140919260986,1647.6654885975604,4.13013698630137,0.28205128205128205,470.4,652.2,230,2592.78515625,161.90813347912794,60.919614852195856,597.6403426847974,0.14430568430207935,0.12081951347017204,-1.437127622069451,46,189,9,52,16,3,53,227.4,258.6,292.73333333333335,350.06666666666666,433.93333333333334,529.2666666666667,619.3333333333334,648.1333333333333,639.6666666666666,566.2666666666667,476.2,372.2,270.8666666666667,196.4,132.2,89.6,65.86666666666666,52.13333333333333,47.93333333333333,51.86666666666667,62.2,74,103.92307692307692,5.457875457875458,135,147.63636363636363,174,305,289,282.8,363,380.25,386.5,417.25,443.25,443.5,448.5,411.5,396.75,384,358.25,318.25,297.5,299.75,303.5,329.75,333.25,347.75,362.75,374.75,93.8,168.26666666666668,227.13333333333333,203.93333333333337,125.2,56.6,20.733333333333334,9.933333333333334,5.866666666666666,3.1333333333333333,1.5333333333333334,0.8666666666666667,1.3333333333333333,1.8,4.666666666666667,11.466666666666669,33.13333333333333,80.53333333333333,130.46666666666667,117.66666666666669,45.86666666666667,14.733333333333333,7,0.28205128205128205,9.333333333333334,11.727272727272728,14.88888888888889,33.2,47.4,67.8,139.25,177.75,118.5,68,42,36.25,37,35,44.75,57.5,65.75,55,58.25,69,77.75,81.5,151.75,212.25,134,64.25,1246.4666666666667,1025.4666666666667,718.0666666666667,516.1333333333333,475.6666666666667,578,897.4666666666667,1385.1333333333334,1842.3333333333333,2149.2,2324.6666666666665,2424.133333333333,2480.2,2510.5333333333333,2521.5333333333333,2495.4,2402.6,2219.0666666666666,2025.5333333333333,1938.2666666666669,1947,2011.7333333333331,2092.4615384615386,2587.3626373626375,2419,2399.5454545454545,2296.8888888888887,1942.4,1784.8,1621.2,1177,974.5,927,990.5,1136,1355.5,1614.75,1745.25,1771,1723,1642.25,1573.25,1543,1480.75,1433.5,1355.75,1168,995.5,1011.25,1132.25
280.768371501292,9.595555555555556,1855.893213196726,0,0,1121.3333333333333,1009.2,130.33333333333334,2601,349.661680096231,27.048154773554927,530.3647331028915,-7.621803837188452,-0.01435897435897435,20.200000000000003,137,196,2,75,17,16,63,692.8,999.0666666666668,530.2,155.8,33.86666666666667,6.818181818181818,0.02752293577981651,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.4,1.3333333333333333,0.26666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1130.5333333333333,1293.2666666666669,1496.5333333333333,1697.9333333333334,1903.9333333333336,2098.7272727272725,2495.9770642201834,2600,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601
549.9976849643216,59.99307359307359,1427.0455153147122,0,0,192.73333333333332,2312,493.26666666666665,2601,746.5306029337719,139.11547199596893,967.597942318098,-4.758333333333333,0,17.130952380952376,232,108,16,67,14,11,84,267.8,662.6666666666666,1519.3333333333333,2281.866666666667,1957.4666666666667,1042.2,437.2,156.66666666666666,51.53333333333333,18.266666666666666,7.833333333333333,3.625,3.75,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,463.46666666666664,317.4,23.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482.3333333333333,198.66666666666663,259,411.26666666666665,568.0666666666667,719.3333333333334,874.6,1028.9333333333334,1719.6666666666667,2389.4666666666667,2577.6666666666665,2600.5,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601
344.7970888256232,12.954882154882156,1677.5726524358645,0,0,1087.5333333333333,1012.8,87.4,2575,364.71467790523695,26.472190222439956,486.7233275132135,-8.385714285714284,-0.06666666666666665,17.030952380952378,86,162,28,90,8,14,76,504.4,909.4666666666668,974,600.8,241.06666666666663,69.86666666666666,16.866666666666667,0.15898617511520738,0.01454545454545454,0.01454545454545454,0.01454545454545454,0.01454545454545454,0.01454545454545454,0.01454545454545454,0.01454545454545454,0.01454545454545454,0.01454545454545454,0.01454545454545454,0.01454545454545454,0.01454545454545454,0.01454545454545454,0.01454545454545454,0.01454545454545454,0.01454545454545454,0.01454545454545454,0.01454545454545454,0.01454545454545454,0.01454545454545454,0.01454545454545454,0.01454545454545454,0.01454545454545454,0.01454545454545454,0.01454545454545454,0.01454545454545454,0.01454545454545454,0.01454545454545454,0.01454545454545454,0.01454545454545454,0.01454545454545454,0.01454545454545454,0.01454545454545454,0.01454545454545454,0.01454545454545454,0.01454545454545454,0.01454545454545454,0.01454545454545454,0.01454545454545454,0.01454545454545454,0.01454545454545454,0.01454545454545454,68.8,17.733333333333334,1.4666666666666666,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1116.4666666666667,1115.2,1256.6666666666667,1423.6666666666667,1594.7333333333331,1766.8666666666666,1937,2220.2396313364056,2476.041212121212,2476.041212121212,2476.041212121212,2476.041212121212,2476.041212121212,2476.041212121212,2476.041212121212,2476.041212121212,2476.041212121212,2476.041212121212,2476.041212121212,2476.041212121212,2476.041212121212,2476.041212121212,2476.041212121212,2476.041212121212,2476.041212121212,2476.041212121212,2476.041212121212,2476.041212121212,2476.041212121212,2476.041212121212,2476.041212121212,2476.041212121212,2476.041212121212,2476.041212121212,2476.041212121212,2476.041212121212,2476.041212121212,2476.041212121212,2476.041212121212,2476.041212121212,2476.041212121212,2476.041212121212,2476.041212121212,2476.041212121212,2476.041212121212,2476.041212121212,2476.041212121212,2476.041212121212,2476.041212121212,2476.041212121212
10.172133333333331,2716.0169333333333,620.8098666666667,0,8.133333333333333,143.4,372.06666666666666,5313.533333333334,2465.4,51.74299846685232,1772.6667224199978,774.629375842435,0,7.616035745561659,-1.494304190566658,16,214,27,21,4,15,19,323.8,62.53333333333333,6.933333333333334,0.13333333333333333,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.666666666666666,8.866666666666667,11.733333333333333,17.333333333333332,25.066666666666663,35.86666666666667,53.13333333333333,78.06666666666666,117.4,174.73333333333332,255.73333333333332,385.6,575.2666666666667,839,1220.6666666666667,1739.2666666666669,2399.866666666667,3155.4666666666667,3945.266666666667,4581.866666666667,5064.666666666667,5297.6,5296.4,5121.8,4910.4,4620.8,4371.466666666666,4145.933333333333,3953.0666666666666,3827.8,3739,3683.2,3622.866666666667,3590.266666666667,3535.733333333333,3526.8,3540.2,3547.4666666666667,3535.266666666667,3536.5333333333333,3544.866666666667,3518.6666666666665,3526.2,3526.133333333333,3524.6666666666665,3526.733333333333,3529.8,3528.0666666666666,3531.266666666667,3509.6666666666665,1916.8,2464.8,2451.733333333333,2402,2316.6666666666665,2206.9333333333334,2067,1881.6666666666667,1659.4,1398.7333333333331,1156.6,923.6,681.2,519.2,386.6,297.46666666666664,241.26666666666668,194.26666666666668,177,160.4,155.06666666666666,150.6,153.2,151.33333333333334,157.06666666666666,157.8,164.6,163.2,169.33333333333334,164.8,171.66666666666666,165.33333333333334,174,171.33333333333334,173.33333333333334,168.8,171.2,171.26666666666668,172.4,170.8,171.06666666666666,174.86666666666667,173.6,174.33333333333334,172.86666666666667,172,171.46666666666667,170.66666666666666,170.53333333333333,171.66666666666666
220.3228511202694,17.675579322638146,2385.9411764705883,0,0,1253.0666666666666,639.1333333333333,192.4,2601,231.90398691149548,43.342279103565545,417.20883990045274,-3.022985705003249,-0.01176470588235294,0.9215686274509822,202,200,8,72,5,5,17,303.6666666666667,435.3333333333333,562.6,635.6666666666666,619.2666666666667,522.4,371.2,242.73333333333332,151.2,87.6,47,24.266666666666666,12.133333333333333,6.666666666666667,0.08539944903581267,2.3333333333333335,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,139.26666666666668,73.93333333333334,25.066666666666663,6.6,1.6666666666666667,0.2,0.06666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1296.3333333333333,1581.2,1954.7333333333331,2299.6666666666665,2499,2573.9333333333334,2596.266666666667,2600.0666666666666,2600.8,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601
