density,directions,total_ticks,mean_burn,sd_burn,trend_burn,middle,end
1,4,13,0.25650706861133,0,0,0.25650706861133,0.25650706861133
1,8,13,0.25650706861133,0,0,0.25650706861133,0.25650706861133
2,4,13,0.22429623355299355,0,0,0.22429623355299355,0.22429623355299355
2,8,14,0.3802714785603905,0.05626435797382138,0,0.3694058443385778,0.5704384912701587
3,4,13,0.40566502445792774,0,0,0.40566502445792774,0.40566502445792774
3,8,14,0.4150533211737259,0.01538375521638761,0,0.4140705213644365,0.4596505321731257
4,4,14,0.40219362401326103,0.04293284720308904,0,0.3913387422747293,0.5511811023622047
4,8,14,0.451522562276412,0.03273480472227983,0,0.4463195333232913,0.559083285921656
5,4,14,0.37850168119232946,0.02092331907328597,0,0.3739722778843498,0.4502196946923245
5,8,15,0.45512806091546487,0.04379601842845499,0,0.450964316450221,0.5694921975748389
6,4,14,0.43237629751546225,0.02907175873416655,0,0.427884849087916,0.5274888783474154
6,8,16,0.452049955771341,0.05853238478815261,0.0070573214006484,0.4414547585021611,0.5719439470020501
7,4,14,0.30703124095144785,0.02691869341601897,0,0.3005695565322085,0.400173794593579
7,8,15,0.4206298813737317,0.04775930448169326,0,0.41060132113465514,0.5713126317087329
8,4,15,0.45731014102910256,0.03585222813006013,0,0.4554727598954308,0.4116839835326407
8,8,16,0.43731150250007544,0.04878925581044521,6.073858114674395e-4,0.4309971845462453,0.6083202511773941
9,4,17,0.3888709871176231,0.0187077113108467,0.00149659668046664,0.3937002170040487,0.4105676544091396
9,8,15,0.4052865052742037,0.02201624946214652,0,0.41137272572219474,0.4155510503729158
10,4,16,0.42087976567866325,0.0389291954873416,4.929508035098017e-4,0.4126844709743704,0.5574136008918618
10,8,18,0.6196930953203595,0.12375841003747176,0.00635899265729812,0.5897661444711103,0.9394904458598726
11,4,16,0.4097879915667083,0.03335747341298391,4.540469554405404e-4,0.4048790149706994,0.5280915358662168
11,8,17,0.5704773165455596,0.05061547822610533,0,0.5902452268582666,0.5613566787789577
12,4,16,0.46702413599462395,0.03817814553384415,0,0.4648506830282591,0.5941931127616475
12,8,17,0.5687069112963246,0.05737659314724714,7.584864344092496e-4,0.5883880022619965,0.5996160807874885
13,4,17,0.4555196427764712,0.02348270241094259,0.00102951540728189,0.4604051427642492,0.4817535830422739
13,8,17,0.5907083899158067,0.05548191708116833,0.00302884617699255,0.6062547526083544,0.6329226596927735
14,4,16,0.40760606744582134,0.01791570733419116,0,0.4096764500996172,0.4497751124437781
14,8,20,0.6679069168213504,0.1342342670006184,0.01321166527910518,0.6309939433390497,0.9360730593607304
15,4,17,0.4755940051882535,0.03509987428962258,0.00112251676451727,0.4772593717777769,0.5747738158594997
