wolves,sheep,grass,initial_number_sheep,initial_number_wolves,sheep_gain_from_food,wolves_gain_from_food,sheep_reproduce,wolves_reproduce,grass_regrowth
0,0,2601,202,200,8,72,5,5,17
0,0,2601,202,200,8,72,5,5,17
0,0,2601,165,185,11,78,16,6,29
0,0,2601,165,185,11,78,16,6,29
0,0,2601,165,185,11,78,16,6,29
0,0,2601,165,185,11,78,16,6,29
0,0,2601,165,185,11,78,16,6,29
0,0,2601,165,185,11,78,16,6,29
0,0,2601,165,185,11,78,16,6,29
0,0,2601,165,185,11,78,16,6,29
0,0,2601,165,185,11,78,16,6,29
0,0,2601,165,185,11,78,16,6,29
0,0,2601,165,185,11,78,16,6,29
0,0,2601,165,185,11,78,16,6,29
0,0,2601,165,185,11,78,16,6,29
0,0,2601,165,185,11,78,16,6,29
0,0,2601,165,185,11,78,16,6,29
0,820,65,181,116,21,1,3,16,70
0,822,78,181,116,21,1,3,16,70
0,837,67,181,116,21,1,3,16,70
0,839,65,181,116,21,1,3,16,70
0,852,54,181,116,21,1,3,16,70
0,832,60,181,116,21,1,3,16,70
0,825,63,181,116,21,1,3,16,70
0,803,67,181,116,21,1,3,16,70
0,828,71,181,116,21,1,3,16,70
0,870,52,181,116,21,1,3,16,70
0,821,63,181,116,21,1,3,16,70
0,809,78,181,116,21,1,3,16,70
0,774,66,181,116,21,1,3,16,70
0,822,75,181,116,21,1,3,16,70
0,847,73,181,116,21,1,3,16,70
0,0,2601,67,166,47,85,12,13,8
0,0,2601,67,166,47,85,12,13,8
0,0,2601,67,166,47,85,12,13,8
0,14595,314,67,166,47,85,12,13,8
0,0,2601,67,166,47,85,12,13,8
0,0,2601,67,166,47,85,12,13,8
0,14387,302,67,166,47,85,12,13,8
0,0,2601,67,166,47,85,12,13,8
0,0,2601,67,166,47,85,12,13,8
0,0,2601,67,166,47,85,12,13,8
0,0,2601,67,166,47,85,12,13,8
0,0,2601,67,166,47,85,12,13,8
0,0,2601,67,166,47,85,12,13,8
0,0,2601,67,166,47,85,12,13,8
0,0,2601,67,166,47,85,12,13,8
0,145,859,90,67,3,14,15,12,30
0,128,963,90,67,3,14,15,12,30
0,140,726,90,67,3,14,15,12,30
0,120,499,90,67,3,14,15,12,30
0,211,586,90,67,3,14,15,12,30
0,156,663,90,67,3,14,15,12,30
0,148,617,90,67,3,14,15,12,30
0,224,719,90,67,3,14,15,12,30
0,142,521,90,67,3,14,15,12,30
0,214,579,90,67,3,14,15,12,30
0,224,684,90,67,3,14,15,12,30
0,200,886,90,67,3,14,15,12,30
0,302,737,90,67,3,14,15,12,30
0,147,1191,90,67,3,14,15,12,30
0,210,819,90,67,3,14,15,12,30
52,349,554,113,74,29,4,12,7,56
23,399,603,113,74,29,4,12,7,56
0,1737,113,113,74,29,4,12,7,56
40,516,565,113,74,29,4,12,7,56
44,381,722,113,74,29,4,12,7,56
37,520,549,113,74,29,4,12,7,56
38,375,632,113,74,29,4,12,7,56
0,1692,133,113,74,29,4,12,7,56
47,409,713,113,74,29,4,12,7,56
0,1740,136,113,74,29,4,12,7,56
24,398,784,113,74,29,4,12,7,56
28,637,602,113,74,29,4,12,7,56
0,1507,170,113,74,29,4,12,7,56
55,435,469,113,74,29,4,12,7,56
0,1768,116,113,74,29,4,12,7,56
0,0,1578,161,232,42,55,4,16,91
0,0,1655,161,232,42,55,4,16,91
0,0,1536,161,232,42,55,4,16,91
0,0,1681,161,232,42,55,4,16,91
0,0,1585,161,232,42,55,4,16,91
0,0,1743,161,232,42,55,4,16,91
0,0,1551,161,232,42,55,4,16,91
0,0,1568,161,232,42,55,4,16,91
0,0,1551,161,232,42,55,4,16,91
0,1359,59,161,232,42,55,4,16,91
0,0,1690,161,232,42,55,4,16,91
0,0,1737,161,232,42,55,4,16,91
0,0,1882,161,232,42,55,4,16,91
0,0,1563,161,232,42,55,4,16,91
0,0,1595,161,232,42,55,4,16,91
0,2059,159,35,1,22,6,7,10,26
0,2152,177,35,1,22,6,7,10,26
0,2106,193,35,1,22,6,7,10,26
0,2212,175,35,1,22,6,7,10,26
0,2070,166,35,1,22,6,7,10,26
0,2144,182,35,1,22,6,7,10,26
0,2106,160,35,1,22,6,7,10,26
0,2123,176,35,1,22,6,7,10,26
0,2117,172,35,1,22,6,7,10,26
0,2133,172,35,1,22,6,7,10,26
0,2070,172,35,1,22,6,7,10,26
0,2026,198,35,1,22,6,7,10,26
0,2111,177,35,1,22,6,7,10,26
0,2136,200,35,1,22,6,7,10,26
0,2135,156,35,1,22,6,7,10,26
0,0,923,119,75,36,39,7,20,88
0,0,1750,119,75,36,39,7,20,88
0,0,981,119,75,36,39,7,20,88
0,1952,7,119,75,36,39,7,20,88
0,0,592,119,75,36,39,7,20,88
0,629,477,119,75,36,39,7,20,88
0,0,626,119,75,36,39,7,20,88
0,0,1734,119,75,36,39,7,20,88
0,0,1289,119,75,36,39,7,20,88
0,1869,7,119,75,36,39,7,20,88
0,0,1134,119,75,36,39,7,20,88
0,0,1035,119,75,36,39,7,20,88
0,1961,8,119,75,36,39,7,20,88
0,0,2260,119,75,36,39,7,20,88
0,0,1818,119,75,36,39,7,20,88
132,834,13,250,27,43,8,8,4,98
124,880,16,250,27,43,8,8,4,98
61,1581,1,250,27,43,8,8,4,98
38,1844,8,250,27,43,8,8,4,98
33,1687,2,250,27,43,8,8,4,98
3,2320,6,250,27,43,8,8,4,98
35,1638,2,250,27,43,8,8,4,98
6,1462,7,250,27,43,8,8,4,98
111,903,9,250,27,43,8,8,4,98
3,2197,1,250,27,43,8,8,4,98
36,1635,8,250,27,43,8,8,4,98
121,1076,9,250,27,43,8,8,4,98
21,1836,4,250,27,43,8,8,4,98
75,1400,9,250,27,43,8,8,4,98
1,2168,2,250,27,43,8,8,4,98
0,0,2601,30,7,44,28,4,3,93
0,0,2601,30,7,44,28,4,3,93
3,0,2601,30,7,44,28,4,3,93
0,0,2601,30,7,44,28,4,3,93
0,0,2601,30,7,44,28,4,3,93
0,0,2601,30,7,44,28,4,3,93
0,0,2601,30,7,44,28,4,3,93
0,1082,67,30,7,44,28,4,3,93
2,0,2601,30,7,44,28,4,3,93
0,0,2601,30,7,44,28,4,3,93
0,0,2601,30,7,44,28,4,3,93
0,0,2601,30,7,44,28,4,3,93
4,0,2601,30,7,44,28,4,3,93
3,0,2601,30,7,44,28,4,3,93
11,0,2601,30,7,44,28,4,3,93
264,74,650,51,209,7,50,7,8,81
0,193,63,51,209,7,50,7,8,81
0,222,31,51,209,7,50,7,8,81
0,42,220,51,209,7,50,7,8,81
17,305,437,51,209,7,50,7,8,81
0,0,2227,51,209,7,50,7,8,81
0,0,2577,51,209,7,50,7,8,81
0,47,1212,51,209,7,50,7,8,81
0,0,2599,51,209,7,50,7,8,81
0,0,2505,51,209,7,50,7,8,81
0,0,2459,51,209,7,50,7,8,81
122,278,230,51,209,7,50,7,8,81
0,362,44,51,209,7,50,7,8,81
4,12,2412,51,209,7,50,7,8,81
1,243,771,51,209,7,50,7,8,81
0,0,1866,208,242,1,31,18,5,95
0,0,2006,208,242,1,31,18,5,95
0,0,2220,208,242,1,31,18,5,95
0,0,1916,208,242,1,31,18,5,95
0,0,2250,208,242,1,31,18,5,95
0,0,2158,208,242,1,31,18,5,95
0,0,2269,208,242,1,31,18,5,95
0,0,1887,208,242,1,31,18,5,95
0,0,2069,208,242,1,31,18,5,95
0,0,2044,208,242,1,31,18,5,95
0,0,2263,208,242,1,31,18,5,95
0,0,2201,208,242,1,31,18,5,95
0,0,2171,208,242,1,31,18,5,95
0,0,2017,208,242,1,31,18,5,95
0,0,2091,208,242,1,31,18,5,95
0,0,2601,62,119,38,86,3,11,14
0,8584,168,62,119,38,86,3,11,14
0,0,2601,62,119,38,86,3,11,14
0,7715,168,62,119,38,86,3,11,14
0,0,2601,62,119,38,86,3,11,14
0,0,2601,62,119,38,86,3,11,14
0,0,2601,62,119,38,86,3,11,14
0,0,2601,62,119,38,86,3,11,14
0,7827,188,62,119,38,86,3,11,14
0,0,2601,62,119,38,86,3,11,14
0,0,2601,62,119,38,86,3,11,14
0,0,2601,62,119,38,86,3,11,14
0,0,2601,62,119,38,86,3,11,14
0,0,2601,62,119,38,86,3,11,14
0,7980,177,62,119,38,86,3,11,14
405,12,2110,75,146,49,98,2,2,22
0,0,2601,75,146,49,98,2,2,22
0,0,2601,75,146,49,98,2,2,22
0,1636,240,75,146,49,98,2,2,22
0,0,2601,75,146,49,98,2,2,22
0,0,2601,75,146,49,98,2,2,22
0,617,473,75,146,49,98,2,2,22
0,0,2601,75,146,49,98,2,2,22
0,0,2601,75,146,49,98,2,2,22
0,0,2601,75,146,49,98,2,2,22
186,328,680,75,146,49,98,2,2,22
0,0,2601,75,146,49,98,2,2,22
84,1436,262,75,146,49,98,2,2,22
0,0,2601,75,146,49,98,2,2,22
0,0,2601,75,146,49,98,2,2,22
0,0,2601,42,57,24,76,9,6,61
0,0,2601,42,57,24,76,9,6,61
0,0,2601,42,57,24,76,9,6,61
0,0,2601,42,57,24,76,9,6,61
0,0,2601,42,57,24,76,9,6,61
0,0,2601,42,57,24,76,9,6,61
0,0,2601,42,57,24,76,9,6,61
0,0,2601,42,57,24,76,9,6,61
0,0,2601,42,57,24,76,9,6,61
0,0,2601,42,57,24,76,9,6,61
0,0,2601,42,57,24,76,9,6,61
0,0,2601,42,57,24,76,9,6,61
0,0,2601,42,57,24,76,9,6,61
0,0,2601,42,57,24,76,9,6,61
0,0,2601,42,57,24,76,9,6,61
0,2539,132,189,45,26,12,2,12,33
18,24,2040,189,45,26,12,2,12,33
0,2474,131,189,45,26,12,2,12,33
31,54,1530,189,45,26,12,2,12,33
0,2292,142,189,45,26,12,2,12,33
0,2233,144,189,45,26,12,2,12,33
0,2177,160,189,45,26,12,2,12,33
0,2314,146,189,45,26,12,2,12,33
0,2535,115,189,45,26,12,2,12,33
0,2586,120,189,45,26,12,2,12,33
0,2187,139,189,45,26,12,2,12,33
0,2677,113,189,45,26,12,2,12,33
0,2279,126,189,45,26,12,2,12,33
0,2012,147,189,45,26,12,2,12,33
0,741,310,189,45,26,12,2,12,33
82,133,837,199,125,4,24,6,10,43
62,167,831,199,125,4,24,6,10,43
54,156,940,199,125,4,24,6,10,43
62,127,963,199,125,4,24,6,10,43
102,125,818,199,125,4,24,6,10,43
65,128,929,199,125,4,24,6,10,43
109,121,722,199,125,4,24,6,10,43
73,129,969,199,125,4,24,6,10,43
44,129,1052,199,125,4,24,6,10,43
87,138,839,199,125,4,24,6,10,43
92,117,910,199,125,4,24,6,10,43
63,160,711,199,125,4,24,6,10,43
