mean_wolves,mean_sheep,mean_grass,min_wolves,min_sheep,min_grass,max_wolves,max_sheep,max_grass,sd_wolves,sd_sheep,sd_grass,trend_wolves,trend_sheep,trend_grass,initial_number_sheep,initial_number_wolves,sheep_gain_from_food,wolves_gain_from_food,sheep_reproduce,wolves_reproduce,grass_regrowth,wolves_50,wolves_100,wolves_150,wolves_200,wolves_250,wolves_300,wolves_350,wolves_400,wolves_450,wolves_500,sheep_50,sheep_100,sheep_150,sheep_200,sheep_250,sheep_300,sheep_350,sheep_400,sheep_450,sheep_500,grass_50,grass_100,grass_150,grass_200,grass_250,grass_300,grass_350,grass_400,grass_450,grass_500
997.327229030122,31.276282051282053,2000.3794871794871,0,0,758.3333333333334,3940.4,275.46666666666664,2601,1303.0729886857928,78.56054683043669,735.6437937257402,-15.581645658263303,0,20.65524207593173,215,244,14,95,18,17,36,487.8666666666667,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2540.133333333333,2601,2601,2601,2601,2601,2601,2601,2601,2601
696.1498460369128,43.50678466076696,2564.7286135693216,0,0,2341.266666666667,2683,328.53333333333336,2601,891.0935130248124,99.08948078163118,79.89023656342404,-10.587612135624653,0,0,225,227,45,55,17,14,1,608.7333333333333,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601
2973.5002186348606,1756.3941947565545,2154.8913857677903,0,0,361.06666666666666,15781,16988.533333333333,2601,4790.101528542279,4331.398003470356,836.8732406678627,-2.747932367149758,0,0,152,13,37,44,19,7,6,374.73333333333335,9747.133333333331,9634.133333333331,1003.7333333333332,43.93333333333333,0.10294117647058824,5,5,5,5,14278.6,0,0,0,0,0,0,0,0,0,382.26666666666665,2601,2601,2601,2601,2601,2601,2601,2601,2601
58.930983663676706,468.4516414890526,703.3956366034151,0,0.02562111801242236,196,953.9333333333332,902,2600.1082949308757,191.1645160141198,272.521237936182,742.584284271878,0,0.6972691161866931,-0.6174655047204067,109,88,10,97,5,18,40,182.8,0,0,0,0,0,0,0,0,0,0.3333333333333333,47.5,485.5,843.5,616.5,553,603,583,554.5,579,2273.4,1968,337.5,211.5,258.5,310.5,292.5,300.5,313.5,296.5
302.03387288359454,64.95140919260986,1647.6654885975604,4.13013698630137,0.28205128205128205,470.4,652.2,230,2592.78515625,161.90813347912794,60.919614852195856,597.6403426847974,0.14430568430207935,0.12081951347017204,-1.437127622069451,46,189,9,52,16,3,53,433.93333333333334,566.2666666666667,132.2,51.86666666666667,135,282.8,443.25,384,303.5,374.75,125.2,3.1333333333333333,4.666666666666667,117.66666666666669,9.333333333333334,67.8,42,57.5,77.75,64.25,475.6666666666667,2149.2,2521.5333333333333,1938.2666666666669,2419,1621.2,1136,1723,1433.5,1132.25
280.768371501292,9.595555555555556,1855.893213196726,0,0,1121.3333333333333,1009.2,130.33333333333334,2601,349.661680096231,27.048154773554927,530.3647331028915,-7.621803837188452,-0.01435897435897435,20.200000000000003,137,196,2,75,17,16,63,33.86666666666667,33.86666666666667,33.86666666666667,33.86666666666667,33.86666666666667,33.86666666666667,33.86666666666667,33.86666666666667,33.86666666666667,33.86666666666667,0,0,0,0,0,0,0,0,0,0,1903.9333333333336,1903.9333333333336,1903.9333333333336,1903.9333333333336,1903.9333333333336,1903.9333333333336,1903.9333333333336,1903.9333333333336,1903.9333333333336,1903.9333333333336
549.9976849643216,59.99307359307359,1427.0455153147122,0,0,192.73333333333332,2312,493.26666666666665,2601,746.5306029337719,139.11547199596893,967.597942318098,-4.758333333333333,0,17.130952380952376,232,108,16,67,14,11,84,1957.4666666666667,18.266666666666666,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,568.0666666666667,2389.4666666666667,2601,2601,2601,2601,2601,2601,2601,2601
344.7970888256232,12.954882154882156,1677.5726524358645,0,0,1087.5333333333333,1012.8,87.4,2575,364.71467790523695,26.472190222439956,486.7233275132135,-8.385714285714284,-0.06666666666666665,17.030952380952378,86,162,28,90,8,14,76,241.06666666666663,241.06666666666663,241.06666666666663,241.06666666666663,241.06666666666663,241.06666666666663,241.06666666666663,241.06666666666663,241.06666666666663,241.06666666666663,0,0,0,0,0,0,0,0,0,0,1594.7333333333331,1594.7333333333331,1594.7333333333331,1594.7333333333331,1594.7333333333331,1594.7333333333331,1594.7333333333331,1594.7333333333331,1594.7333333333331,1594.7333333333331
10.172133333333331,2716.0169333333333,620.8098666666667,0,8.133333333333333,143.4,372.06666666666666,5313.533333333334,2465.4,51.74299846685232,1772.6667224199978,774.629375842435,0,7.616035745561659,-1.494304190566658,16,214,27,21,4,15,19,0.3333333333333333,0,0,0,0,0,0,0,0,0,25.066666666666663,174.73333333333332,1220.6666666666667,4581.866666666667,4910.4,3827.8,3535.733333333333,3536.5333333333333,3524.6666666666665,3509.6666666666665,2316.6666666666665,1398.7333333333331,386.6,160.4,157.06666666666666,164.8,173.33333333333334,170.8,172.86666666666667,171.66666666666666
220.3228511202694,17.675579322638146,2385.9411764705883,0,0,1253.0666666666666,639.1333333333333,192.4,2601,231.90398691149548,43.342279103565545,417.20883990045274,-3.022985705003249,-0.01176470588235294,0.9215686274509822,202,200,8,72,5,5,17,619.2666666666667,87.6,0.08539944903581267,0.08539944903581267,0.08539944903581267,0.08539944903581267,0.08539944903581267,0.08539944903581267,0.08539944903581267,0.08539944903581267,1.6666666666666667,0,0,0,0,0,0,0,0,0,2499,2601,2601,2601,2601,2601,2601,2601,2601,2601
